uid,sent_id,source,group,dataset,words,rules,unique_rules
fakebr:1006,fakebr:1006-1,fakebr,human,fakebr_human,19,25,16
fakebr:1006,fakebr:1006-2,fakebr,human,fakebr_human,19,27,14
fakebr:1006,fakebr:1006-3,fakebr,human,fakebr_human,64,88,37
fakebr:1006,fakebr:1006-4,fakebr,human,fakebr_human,38,52,25
fakebr:1006,fakebr:1006-5,fakebr,human,fakebr_human,46,60,24
fakebr:1006,fakebr:1006-6,fakebr,human,fakebr_human,36,48,22
fakebr:1006,fakebr:1006-1,fakebr,machine,fakebr_machine,2,3,3
fakebr:1006,fakebr:1006-2,fakebr,machine,fakebr_machine,11,16,11
fakebr:1006,fakebr:1006-3,fakebr,machine,fakebr_machine,7,9,8
fakebr:1006,fakebr:1006-4,fakebr,machine,fakebr_machine,38,54,28
fakebr:1006,fakebr:1006-5,fakebr,machine,fakebr_machine,37,52,24
fakebr:1006,fakebr:1006-6,fakebr,machine,fakebr_machine,26,36,20
fakebr:1006,fakebr:1006-7,fakebr,machine,fakebr_machine,3,4,4
fakebr:1006,fakebr:1006-8,fakebr,machine,fakebr_machine,15,20,15
fakebr:1006,fakebr:1006-9,fakebr,machine,fakebr_machine,16,21,16
fakebr:1006,fakebr:1006-10,fakebr,machine,fakebr_machine,22,32,21
fakebr:1006,fakebr:1006-11,fakebr,machine,fakebr_machine,22,30,15
fakebr:1006,fakebr:1006-12,fakebr,machine,fakebr_machine,31,43,22
fakebr:1006,fakebr:1006-13,fakebr,machine,fakebr_machine,34,47,24
fakebr:1006,fakebr:1006-14,fakebr,machine,fakebr_machine,23,33,21
fakebr:1006,fakebr:1006-15,fakebr,machine,fakebr_machine,38,53,24
fakebr:1006,fakebr:1006-16,fakebr,machine,fakebr_machine,15,20,15
fakebr:1006,fakebr:1006-17,fakebr,machine,fakebr_machine,16,21,11
fakebr:1006,fakebr:1006-18,fakebr,machine,fakebr_machine,12,17,13
fakebr:1006,fakebr:1006-19,fakebr,machine,fakebr_machine,12,16,10
fakebr:1006,fakebr:1006-20,fakebr,machine,fakebr_machine,7,10,8
fakebr:1006,fakebr:1006-21,fakebr,machine,fakebr_machine,7,11,11
