uid,source,group,dataset,sentences,words,rules,unique_rules,rules_per_sentence,unique_rules_per_sentence,rule_diversity,words_per_sentence
fakebr:1006,fakebr,human,fakebr_human,6,222,300,77,50.0,23.0,0.25666666666666665,37.0
fakebr:1006,fakebr,machine,fakebr_machine,21,394,548,121,26.095238095238095,15.428571428571429,0.2208029197080292,18.761904761904763
fakebr:104,fakebr,human,fakebr_human,47,654,900,180,19.148936170212767,13.170212765957446,0.2,13.914893617021276
fakebr:104,fakebr,machine,fakebr_machine,15,384,533,120,35.53333333333333,19.533333333333335,0.225140712945591,25.6
fakebr:1129,fakebr,human,fakebr_human,14,309,436,98,31.142857142857142,18.142857142857142,0.22477064220183487,22.071428571428573
fakebr:1129,fakebr,machine,fakebr_machine,59,909,1266,239,21.45762711864407,13.677966101694915,0.18878357030015797,15.40677966101695
fakebr:2623,fakebr,human,fakebr_human,11,229,318,82,28.90909090909091,16.545454545454547,0.2578616352201258,20.818181818181817
fakebr:2623,fakebr,machine,fakebr_machine,29,654,904,167,31.17241379310345,17.93103448275862,0.1847345132743363,22.551724137931036
fakebr:3020,fakebr,human,fakebr_human,7,132,182,57,26.0,15.285714285714286,0.3131868131868132,18.857142857142858
fakebr:3020,fakebr,machine,fakebr_machine,17,504,702,148,41.294117647058826,21.58823529411765,0.21082621082621084,29.647058823529413
fakebr:3041,fakebr,human,fakebr_human,9,200,274,69,30.444444444444443,16.0,0.2518248175182482,22.22222222222222
fakebr:3041,fakebr,machine,fakebr_machine,25,565,785,147,31.4,17.04,0.18726114649681527,22.6
fakebr:421,fakebr,human,fakebr_human,12,236,325,77,27.083333333333332,16.75,0.23692307692307693,19.666666666666668
fakebr:421,fakebr,machine,fakebr_machine,23,563,774,163,33.65217391304348,18.347826086956523,0.21059431524547803,24.47826086956522
fakebr:458,fakebr,human,fakebr_human,15,368,507,108,33.8,17.933333333333334,0.21301775147928995,24.533333333333335
fakebr:458,fakebr,machine,fakebr_machine,21,326,443,109,21.095238095238095,13.476190476190476,0.24604966139954854,15.523809523809524
fakebr:573,fakebr,human,fakebr_human,12,275,378,96,31.5,17.0,0.25396825396825395,22.916666666666668
fakebr:573,fakebr,machine,fakebr_machine,32,913,1271,214,39.71875,19.96875,0.16837136113296616,28.53125
fakebr:917,fakebr,human,fakebr_human,11,135,185,54,16.818181818181817,11.272727272727273,0.2918918918918919,12.272727272727273
fakebr:917,fakebr,machine,fakebr_machine,20,354,490,112,24.5,14.45,0.22857142857142856,17.7
faketruebr:1043,faketruebr,human,faketruebr_human,4,155,214,60,53.5,23.0,0.2803738317757009,38.75
faketruebr:1043,faketruebr,machine,faketruebr_machine,18,493,689,132,38.27777777777778,19.88888888888889,0.19158200290275762,27.38888888888889
faketruebr:1429,faketruebr,human,faketruebr_human,16,260,362,89,22.625,13.625,0.24585635359116023,16.25
faketruebr:1429,faketruebr,machine,faketruebr_machine,14,323,446,108,31.857142857142858,16.714285714285715,0.242152466367713,23.071428571428573
faketruebr:1587,faketruebr,human,faketruebr_human,5,156,215,59,43.0,21.2,0.2744186046511628,31.2
faketruebr:1587,faketruebr,machine,faketruebr_machine,15,389,534,118,35.6,19.6,0.2209737827715356,25.933333333333334
faketruebr:1773,faketruebr,human,faketruebr_human,7,86,120,47,17.142857142857142,11.714285714285714,0.39166666666666666,12.285714285714286
faketruebr:1773,faketruebr,machine,faketruebr_machine,17,612,839,158,49.35294117647059,23.88235294117647,0.18831942789034564,36.0
faketruebr:215,faketruebr,human,faketruebr_human,6,113,161,51,26.833333333333332,15.166666666666666,0.3167701863354037,18.833333333333332
faketruebr:215,faketruebr,machine,faketruebr_machine,12,288,400,100,33.333333333333336,18.25,0.25,24.0
faketruebr:230,faketruebr,human,faketruebr_human,4,99,136,41,34.0,18.0,0.3014705882352941,24.75
faketruebr:230,faketruebr,machine,faketruebr_machine,11,259,357,86,32.45454545454545,17.727272727272727,0.24089635854341737,23.545454545454547
faketruebr:509,faketruebr,human,faketruebr_human,10,213,300,88,30.0,16.2,0.29333333333333333,21.3
faketruebr:509,faketruebr,machine,faketruebr_machine,14,380,533,125,38.07142857142857,19.214285714285715,0.23452157598499063,27.142857142857142
faketruebr:542,faketruebr,human,faketruebr_human,14,253,352,89,25.142857142857142,13.285714285714286,0.2528409090909091,18.071428571428573
faketruebr:542,faketruebr,machine,faketruebr_machine,16,461,650,133,40.625,20.5625,0.20461538461538462,28.8125
faketruebr:70,faketruebr,human,faketruebr_human,7,89,125,40,17.857142857142858,12.714285714285714,0.32,12.714285714285714
faketruebr:70,faketruebr,machine,faketruebr_machine,18,406,566,127,31.444444444444443,18.166666666666668,0.22438162544169613,22.555555555555557
faketruebr:74,faketruebr,human,faketruebr_human,7,165,233,49,33.285714285714285,17.428571428571427,0.21030042918454936,23.571428571428573
faketruebr:74,faketruebr,machine,faketruebr_machine,8,232,324,84,40.5,20.75,0.25925925925925924,29.0
