uid,sent_id,source,group,dataset,words,rules,unique_rules
fakebr:1006,fakebr:1006-1,fakebr,human,fakebr_human,19,10,7
fakebr:1006,fakebr:1006-2,fakebr,human,fakebr_human,19,6,3
fakebr:1006,fakebr:1006-3,fakebr,human,fakebr_human,64,30,15
fakebr:1006,fakebr:1006-4,fakebr,human,fakebr_human,38,18,11
fakebr:1006,fakebr:1006-5,fakebr,human,fakebr_human,46,21,10
fakebr:1006,fakebr:1006-6,fakebr,human,fakebr_human,36,15,10
fakebr:1006,fakebr:1006-1,fakebr,machine,fakebr_machine,68,29,15
fakebr:1006,fakebr:1006-2,fakebr,machine,fakebr_machine,42,20,12
fakebr:1006,fakebr:1006-3,fakebr,machine,fakebr_machine,48,25,15
fakebr:1006,fakebr:1006-4,fakebr,machine,fakebr_machine,34,13,10
fakebr:1006,fakebr:1006-5,fakebr,machine,fakebr_machine,48,20,13
fakebr:1006,fakebr:1006-6,fakebr,machine,fakebr_machine,34,11,7
fakebr:1006,fakebr:1006-7,fakebr,machine,fakebr_machine,54,26,14
fakebr:1006,fakebr:1006-8,fakebr,machine,fakebr_machine,36,13,7
fakebr:1006,fakebr:1006-9,fakebr,machine,fakebr_machine,28,15,11
fakebr:1006,fakebr:1006-10,fakebr,machine,fakebr_machine,24,7,6
fakebr:1006,fakebr:1006-11,fakebr,machine,fakebr_machine,17,10,7
fakebr:1006,fakebr:1006-12,fakebr,machine,fakebr_machine,34,22,13
fakebr:1006,fakebr:1006-13,fakebr,machine,fakebr_machine,28,15,11
fakebr:1006,fakebr:1006-14,fakebr,machine,fakebr_machine,39,14,10
fakebr:1006,fakebr:1006-15,fakebr,machine,fakebr_machine,25,11,6
fakebr:104,fakebr:104-1,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-2,fakebr,human,fakebr_human,40,25,12
fakebr:104,fakebr:104-3,fakebr,human,fakebr_human,14,4,2
fakebr:104,fakebr:104-4,fakebr,human,fakebr_human,19,5,4
fakebr:104,fakebr:104-5,fakebr,human,fakebr_human,10,7,5
fakebr:104,fakebr:104-6,fakebr,human,fakebr_human,19,8,5
fakebr:104,fakebr:104-7,fakebr,human,fakebr_human,52,22,11
fakebr:104,fakebr:104-8,fakebr,human,fakebr_human,23,10,7
fakebr:104,fakebr:104-9,fakebr,human,fakebr_human,21,15,7
fakebr:104,fakebr:104-10,fakebr,human,fakebr_human,13,5,3
fakebr:104,fakebr:104-11,fakebr,human,fakebr_human,13,4,4
fakebr:104,fakebr:104-12,fakebr,human,fakebr_human,16,8,5
fakebr:104,fakebr:104-13,fakebr,human,fakebr_human,8,4,3
fakebr:104,fakebr:104-14,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-15,fakebr,human,fakebr_human,8,0,0
fakebr:104,fakebr:104-16,fakebr,human,fakebr_human,16,4,3
fakebr:104,fakebr:104-17,fakebr,human,fakebr_human,11,4,4
fakebr:104,fakebr:104-18,fakebr,human,fakebr_human,12,2,2
fakebr:104,fakebr:104-19,fakebr,human,fakebr_human,14,8,7
fakebr:104,fakebr:104-20,fakebr,human,fakebr_human,9,4,4
fakebr:104,fakebr:104-21,fakebr,human,fakebr_human,18,7,6
fakebr:104,fakebr:104-22,fakebr,human,fakebr_human,14,4,4
fakebr:104,fakebr:104-23,fakebr,human,fakebr_human,25,13,10
fakebr:104,fakebr:104-24,fakebr,human,fakebr_human,15,4,4
fakebr:104,fakebr:104-25,fakebr,human,fakebr_human,10,2,2
fakebr:104,fakebr:104-26,fakebr,human,fakebr_human,6,0,0
fakebr:104,fakebr:104-27,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-28,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-29,fakebr,human,fakebr_human,12,6,5
fakebr:104,fakebr:104-30,fakebr,human,fakebr_human,8,7,5
fakebr:104,fakebr:104-31,fakebr,human,fakebr_human,13,5,4
fakebr:104,fakebr:104-32,fakebr,human,fakebr_human,30,13,9
fakebr:104,fakebr:104-33,fakebr,human,fakebr_human,6,0,0
fakebr:104,fakebr:104-34,fakebr,human,fakebr_human,13,5,3
fakebr:104,fakebr:104-35,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-36,fakebr,human,fakebr_human,17,6,6
fakebr:104,fakebr:104-37,fakebr,human,fakebr_human,4,0,0
fakebr:104,fakebr:104-38,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-39,fakebr,human,fakebr_human,7,2,2
fakebr:104,fakebr:104-40,fakebr,human,fakebr_human,6,2,2
fakebr:104,fakebr:104-41,fakebr,human,fakebr_human,17,8,6
fakebr:104,fakebr:104-42,fakebr,human,fakebr_human,13,4,3
fakebr:104,fakebr:104-43,fakebr,human,fakebr_human,8,2,2
fakebr:104,fakebr:104-44,fakebr,human,fakebr_human,22,11,9
fakebr:104,fakebr:104-45,fakebr,human,fakebr_human,13,6,6
fakebr:104,fakebr:104-46,fakebr,human,fakebr_human,16,6,4
fakebr:104,fakebr:104-47,fakebr,human,fakebr_human,7,0,0
fakebr:104,fakebr:104-1,fakebr,machine,fakebr_machine,24,16,11
fakebr:104,fakebr:104-2,fakebr,machine,fakebr_machine,58,15,6
fakebr:104,fakebr:104-3,fakebr,machine,fakebr_machine,34,11,8
fakebr:104,fakebr:104-4,fakebr,machine,fakebr_machine,42,16,10
fakebr:104,fakebr:104-5,fakebr,machine,fakebr_machine,40,34,13
fakebr:104,fakebr:104-6,fakebr,machine,fakebr_machine,33,10,7
fakebr:104,fakebr:104-7,fakebr,machine,fakebr_machine,33,16,10
fakebr:104,fakebr:104-8,fakebr,machine,fakebr_machine,53,22,10
fakebr:104,fakebr:104-9,fakebr,machine,fakebr_machine,67,30,16
fakebr:104,fakebr:104-10,fakebr,machine,fakebr_machine,29,14,9
fakebr:1129,fakebr:1129-1,fakebr,human,fakebr_human,8,2,2
fakebr:1129,fakebr:1129-2,fakebr,human,fakebr_human,12,9,6
fakebr:1129,fakebr:1129-3,fakebr,human,fakebr_human,13,0,0
fakebr:1129,fakebr:1129-4,fakebr,human,fakebr_human,12,9,7
fakebr:1129,fakebr:1129-5,fakebr,human,fakebr_human,24,11,6
fakebr:1129,fakebr:1129-6,fakebr,human,fakebr_human,68,39,16
fakebr:1129,fakebr:1129-7,fakebr,human,fakebr_human,26,7,5
fakebr:1129,fakebr:1129-8,fakebr,human,fakebr_human,34,17,9
fakebr:1129,fakebr:1129-9,fakebr,human,fakebr_human,21,10,6
fakebr:1129,fakebr:1129-10,fakebr,human,fakebr_human,22,8,6
fakebr:1129,fakebr:1129-11,fakebr,human,fakebr_human,14,3,3
fakebr:1129,fakebr:1129-12,fakebr,human,fakebr_human,15,6,5
fakebr:1129,fakebr:1129-13,fakebr,human,fakebr_human,9,4,4
fakebr:1129,fakebr:1129-14,fakebr,human,fakebr_human,31,12,8
fakebr:1129,fakebr:1129-1,fakebr,machine,fakebr_machine,17,7,6
