rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
CCONJ(*),0.07544357049397538,0.05485402272766339,0.020589547766311986,0.020589547766311986,20,19,100.0,95.0,245.0,0.22869435423745565,0.5791916025521104,medium,human,0.4219955346048289,False
"NOUN(CCONJ/cc, *)",0.025164399471431266,0.006414893678916447,0.018749505792514817,0.018749505792514817,10,10,50.0,50.0,237.0,0.2912621379760004,0.7471592160748636,medium,human,0.5130185384804553,False
*(NOUN),0.032366371881042875,0.01594930978618787,0.016417062094855005,0.016417062094855005,14,10,70.0,50.0,266.0,0.06707852888768744,0.5991400878249872,medium,human,0.22732434371967192,False
X(*),0.020692313458862247,0.007101810492972542,0.013590502965889706,0.013590502965889706,6,6,30.0,30.0,213.0,0.6766178681454846,0.4278640219245666,small,human,0.8395851106436756,False
"NOUN(DET/det, *, NOUN/nmod)",0.027314091891447373,0.014310751236222063,0.01300334065522531,0.01300334065522531,16,15,80.0,75.0,267.0,0.07044448422365347,0.749871558780121,medium,human,0.23231691605672955,False
"SYM(NUM/nummod, *, NOUN/nmod)",0.013802368446284732,0.001638459006083026,0.012163909440201705,0.012163909440201705,4,2,20.0,10.0,224.0,0.30624702497134626,0.4134107736700009,small,human,0.5172151057513843,False
"NOUN(ADP/case, DET/det, *)",0.06471199623222681,0.05293907158931812,0.011772924642908696,0.011772924642908696,20,20,100.0,100.0,247.0,0.20845355458876536,0.49616947924462584,small,human,0.39402806050315403,False
"NOUN(ADP/case, *, NOUN/conj)",0.013764121181380895,0.002786011153062583,0.010978110028318312,0.010978110028318312,4,4,20.0,20.0,208.0,0.7715392391507198,0.46580751673905646,small,human,0.8829149996996701,False
PUNCT(*),0.293269276500807,0.28233409357271727,0.010935182928089704,0.010935182928089704,20,20,100.0,100.0,204.0,0.9245727283322236,0.14112994841875398,negligible,human,0.9879785709133265,False
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0.011205608780642083,0.0007126258249860744,0.010492982955656009,0.010492982955656009,5,1,25.0,5.0,242.5,0.06746399878132199,0.6927954367827458,medium,human,0.22732434371967192,False
DET(*),0.3681069106938412,0.3588054459365713,0.009301464757269895,0.009301464757269895,20,20,100.0,100.0,241.0,0.2732851201810752,0.1413819730969285,negligible,human,0.4868872830812259,False
"NOUN(ADP/case, DET/det, *, NOUN/conj)",0.011246499754741155,0.002026133535893521,0.009220366218847635,0.009220366218847635,3,3,15.0,15.0,204.5,0.8617479277008719,0.38332959277318535,small,human,0.9540780628116797,False
"NOUN(ADP/case, DET/det, DET/det, *)",0.011181419638385754,0.0020025915658270126,0.00917882807255874,0.00917882807255874,4,4,20.0,20.0,208.0,0.7715392391507198,0.565336704877718,medium,human,0.8829149996996701,False
"PRON(*, PRON/fixed)",0.010948955312591335,0.0029117458907450223,0.008037209421846311,0.008037209421846311,8,4,40.0,20.0,256.0,0.06404772555311068,0.7345227419508815,medium,human,0.22732434371967192,False
"NOUN(ADP/case, NUM/nummod, *)",0.012037700358558393,0.00495488243532805,0.007082817923230343,0.007082817923230343,9,8,45.0,40.0,235.0,0.29981228185750697,0.5729754780753613,medium,human,0.5172151057513843,False
