uid,source,group,dataset,model,tokens,types,type_token_ratio,mattr
fakebr:1006,fakebr,human,fakebr_human,,182,118,0.6483516483516484,0.826015037593985
fakebr:1006,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,467,285,0.6102783725910065,0.8722488038277512
fakebr:104,fakebr,human,fakebr_human,,557,291,0.5224416517055656,0.8326771653543307
fakebr:104,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,340,213,0.6264705882352941,0.8796563573883162
fakebr:1129,fakebr,human,fakebr_human,,240,134,0.5583333333333333,0.7927748691099477
fakebr:1129,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,421,232,0.5510688836104513,0.8452150537634409
fakebr:2623,fakebr,human,fakebr_human,,178,114,0.6404494382022472,0.8258914728682171
fakebr:2623,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,489,258,0.5276073619631901,0.8511818181818182
fakebr:3020,fakebr,human,fakebr_human,,100,74,0.74,0.8
fakebr:3020,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,436,270,0.6192660550458715,0.8921447028423772
fakebr:3041,fakebr,human,fakebr_human,,162,92,0.5679012345679012,0.7753982300884956
fakebr:3041,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,369,209,0.5663956639566395,0.8468125
fakebr:421,fakebr,human,fakebr_human,,177,116,0.655367231638418,0.8253125
fakebr:421,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,493,309,0.6267748478701826,0.8835135135135135
fakebr:458,fakebr,human,fakebr_human,,300,197,0.6566666666666666,0.881195219123506
fakebr:458,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,415,266,0.6409638554216868,0.8957377049180328
fakebr:573,fakebr,human,fakebr_human,,207,127,0.6135265700483091,0.8586075949367089
fakebr:573,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,357,231,0.6470588235294118,0.9016883116883117
fakebr:917,fakebr,human,fakebr_human,,100,70,0.7,0.8482352941176471
fakebr:917,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,476,303,0.6365546218487395,0.8916627634660421
faketruebr:1043,faketruebr,human,faketruebr_human,,133,87,0.6541353383458647,0.8378571428571429
faketruebr:1043,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,330,209,0.6333333333333333,0.8593594306049822
faketruebr:1429,faketruebr,human,faketruebr_human,,221,123,0.5565610859728507,0.7704651162790698
faketruebr:1429,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,368,229,0.6222826086956522,0.8820689655172413
faketruebr:1587,faketruebr,human,faketruebr_human,,126,89,0.7063492063492064,0.8202597402597402
faketruebr:1587,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,248,163,0.657258064516129,0.8684422110552764
faketruebr:1773,faketruebr,human,faketruebr_human,,68,52,0.7647058823529411,0.8
faketruebr:1773,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,401,228,0.5685785536159601,0.8533522727272728
faketruebr:215,faketruebr,human,faketruebr_human,,95,70,0.7368421052631579,0.8604347826086957
faketruebr:215,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,276,178,0.644927536231884,0.8562995594713656
faketruebr:230,faketruebr,human,faketruebr_human,,86,53,0.6162790697674418,0.7616216216216216
faketruebr:230,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,280,182,0.65,0.8814718614718615
faketruebr:509,faketruebr,human,faketruebr_human,,160,102,0.6375,0.7935135135135135
faketruebr:509,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,314,210,0.6687898089171974,0.9018113207547169
faketruebr:542,faketruebr,human,faketruebr_human,,201,119,0.5920398009950248,0.8225
faketruebr:542,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,294,198,0.673469387755102,0.9000816326530612
faketruebr:70,faketruebr,human,faketruebr_human,,78,53,0.6794871794871795,0.7248275862068966
faketruebr:70,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,376,228,0.6063829787234043,0.8808562691131498
faketruebr:74,faketruebr,human,faketruebr_human,,139,55,0.39568345323741005,0.8042222222222222
faketruebr:74,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,349,210,0.6017191977077364,0.8352666666666667
