rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"VERB(PUNCT/punct, *, NOUN/obj)",0.0036513640438053012,0.04408815792736148,-0.04043679388355618,0.04043679388355618,1,16,5.0,80.0,58.0,2.113685358994779e-05,-2.0710827281196367,large,machine,0.0002574322420045372,True
"ADV(*, PRON/obl, PUNCT/punct)",0.0,0.039049182151008645,-0.039049182151008645,0.039049182151008645,0,12,0.0,60.0,80.0,6.682632606181775e-05,-1.7014913423312852,large,machine,0.0007350895866799952,True
"NOUN(ADP/case, *, VERB/acl)",0.002234716270786194,0.040736858139848724,-0.03850214186906253,0.03850214186906253,1,14,5.0,70.0,63.0,2.1731293156227167e-05,-1.8909143397872565,large,machine,0.0002574322420045372,True
"VERB(PRON/nsubj, *, VERB/xcomp)",0.0,0.037455187463858265,-0.037455187463858265,0.037455187463858265,0,11,0.0,55.0,90.0,0.0001669860144431449,-1.5462502281737394,large,machine,0.0015126968367202539,True
"NOUN(*, NOUN/conj)",0.0038973417461342316,0.03548275334792153,-0.0315854116017873,0.0315854116017873,1,10,5.0,50.0,113.0,0.0029427008923005272,-1.12355638309085,large,machine,0.018882330725595052,True
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.011933543737901914,0.0428393170419266,-0.03090577330402469,0.03090577330402469,4,18,20.0,90.0,77.0,0.0005101789367157814,-1.5041590938631755,large,machine,0.004135134539696333,True
"VERB(CCONJ/cc, *, NOUN/obj)",0.008774359116794844,0.03947303259186423,-0.030698673475069386,0.030698673475069386,3,14,15.0,70.0,92.0,0.0012347842396028172,-1.2768590790327792,large,machine,0.00864348967721972,True
"ADV(*, NOUN/obl)",0.0,0.03032252522375079,-0.03032252522375079,0.03032252522375079,0,8,0.0,40.0,120.0,0.0020850808867877617,-1.144345107758508,large,machine,0.013960976372405015,True
"VERB(*, NOUN/obl)",0.010224568989565518,0.04051111474675826,-0.030286545757192744,0.030286545757192744,3,16,15.0,80.0,78.0,0.00038049799085141864,-1.2768033126580818,large,machine,0.0032553716995065815,True
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0.0,0.028199080200840988,-0.028199080200840988,0.028199080200840988,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0354655553652388,large,machine,0.02479868312372663,True
"ADJ(*, NOUN/obl)",0.007655678973714115,0.03578851754786913,-0.028132838574155015,0.028132838574155015,2,12,10.0,60.0,112.0,0.005459460517818807,-1.0651468970934002,large,machine,0.028025230658136547,True
"NOUN(ADP/case, DET/det, *, ADJ/amod, ADJ/amod)",0.0,0.02780615024350037,-0.02780615024350037,0.02780615024350037,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0339578768514233,large,machine,0.02479868312372663,True
"NOUN(CCONJ/cc, *, ADJ/amod)",0.011060278682873908,0.037893611785666796,-0.026833333102792886,0.026833333102792886,3,14,15.0,70.0,111.0,0.007820800223580013,-1.0397727523146032,large,machine,0.038434301602487564,True
"NOUN(*, PROPN/nmod)",0.006751989588788199,0.03337026848897616,-0.02661827890018796,0.02661827890018796,2,11,10.0,55.0,110.0,0.0036273626244459835,-1.0170984334223219,large,machine,0.02234455376658726,True
"VERB(PRON/nsubj, *, NOUN/obj)",0.007433285271966493,0.033984307393060145,-0.026551022121093653,0.026551022121093653,2,11,10.0,55.0,119.0,0.00888730571096258,-0.9826361877276217,large,machine,0.04147409331782538,True
"VERB(*, NOUN/obl:agent)",0.006608984341666045,0.032772553778384526,-0.026163569436718482,0.026163569436718482,2,10,10.0,50.0,120.0,0.00798634838493248,-0.9494396727519753,large,machine,0.038434301602487564,True
"PROPN(PUNCT/punct, *, PUNCT/punct)",0.011330736601730276,0.037273066632288784,-0.025942330030558507,0.025942330030558507,3,13,15.0,65.0,118.5,0.013354688936582818,-0.9401893089636606,large,machine,0.05558438097929065,False
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod)",0.0,0.025530584699003055,-0.025530584699003055,0.025530584699003055,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9242532087000296,large,machine,0.0421712188786186,True
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0.0,0.02441867927870891,-0.02441867927870891,0.02441867927870891,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9207242933776888,large,machine,0.0421712188786186,True
"NOUN(ADP/case, DET/det, *, VERB/acl)",0.004337427568714636,0.028732945859068687,-0.02439551829035405,0.02439551829035405,1,8,5.0,40.0,134.0,0.015393456380801512,-0.8604436816639345,large,machine,0.05752914923953493,False
"PROPN(*, PROPN/flat:name, PROPN/flat:name)",0.004640148450455365,0.028809360426245677,-0.024169211975790313,0.024169211975790313,1,8,5.0,40.0,134.0,0.015393456380801512,-0.8374967102355325,large,machine,0.05752914923953493,False
"NOUN(ADP/case, *, PROPN/nmod)",0.00990696819123155,0.034050847071601546,-0.024143878880369996,0.024143878880369996,3,12,15.0,60.0,126.0,0.02222628128509033,-0.9323785111845438,large,machine,0.06338606144266501,False
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod)",0.004279423005828771,0.027643005437635475,-0.023363582431806702,0.023363582431806702,1,7,5.0,35.0,142.5,0.027331395773759273,-0.7825379200933018,medium,machine,0.07652790816652597,False
"VERB(ADV/advmod, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.0,0.023124658036305354,-0.023124658036305354,0.023124658036305354,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8110328792796584,large,machine,0.05752914923953493,False
"NOUN(*, ADJ/amod, PROPN/nmod)",0.0,0.02288334594354176,-0.02288334594354176,0.02288334594354176,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8134518007375809,large,machine,0.05752914923953493,False
"PROPN(DET/det, *)",0.014051953756363028,0.0365984349077567,-0.022546481151393676,0.022546481151393676,5,14,25.0,70.0,125.0,0.0293507094792577,-0.9184172012665746,large,machine,0.08071445106795867,False
"NOUN(*, ADJ/amod, NOUN/nmod)",0.011147230522511348,0.0336823816369163,-0.022535151114404954,0.022535151114404954,3,11,15.0,55.0,124.5,0.017235150132798308,-0.7622910245193619,medium,machine,0.05752914923953493,False
"NOUN(*, ADJ/amod)",0.018611801087879326,0.04111260929811138,-0.02250080821023205,0.02250080821023205,6,18,30.0,90.0,125.0,0.0372735098156114,-0.976925595575944,large,machine,0.0972901781627823,False
"NOUN(ADP/case, *, ADJ/amod, ADJ/amod)",0.0,0.02235894685619839,-0.02235894685619839,0.02235894685619839,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8143732689937653,large,machine,0.05752914923953493,False
"NOUN(PUNCT/punct, *, VERB/acl:relcl)",0.0,0.022228981508870586,-0.022228981508870586,0.022228981508870586,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8150328142757376,large,machine,0.05752914923953493,False
"NOUN(DET/det, *, ADJ/amod)",0.018518864729885547,0.040644012889701486,-0.02212514815981594,0.02212514815981594,6,18,30.0,90.0,128.0,0.04562066680724339,-0.9557525790179145,large,machine,0.11331584981154003,False
"NOUN(ADP/case, *, ADJ/amod, NOUN/conj)",0.0,0.022071340151844105,-0.022071340151844105,0.022071340151844105,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8078259767484701,large,machine,0.05752914923953493,False
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, NOUN/nmod)",0.0,0.02202388459185069,-0.02202388459185069,0.02202388459185069,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8084336372635665,large,machine,0.05752914923953493,False
"NOUN(ADP/case, *, ADJ/amod, VERB/acl)",0.0,0.02193324423674583,-0.02193324423674583,0.02193324423674583,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8156046864589955,large,machine,0.05752914923953493,False
"NOUN(DET/det, *, ADJ/amod, ADJ/amod)",0.0,0.021878118942632252,-0.021878118942632252,0.021878118942632252,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8137842216947515,large,machine,0.05752914923953493,False
"NOUN(ADP/case, *, ADJ/amod, VERB/acl:relcl)",0.0,0.021827400685205667,-0.021827400685205667,0.021827400685205667,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8127171563018621,large,machine,0.05752914923953493,False
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0.0,0.021641065143243134,-0.021641065143243134,0.021641065143243134,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8131852537321137,large,machine,0.05752914923953493,False
