metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of,q_value,significant_fdr_005
space (Space),20,5.258282857904765,2.5374585334203474,20,8.375972311723185,1.8056283623719893,-3.1176894538184197,3.1176894538184197,70.0,0.0004600727270090418,-1.415743593632124,large,True,True,machine,0.017022690899334548,True
adj (Adjectives),20,2.8535368808229427,1.5770249431911916,20,4.919033345205731,1.3900802155169196,-2.0654964643827887,2.0654964643827887,66.0,0.0003047989167029453,-1.3895084886785811,large,True,True,machine,0.017022690899334548,True
ppron (Personal Pronouns),20,10.335463123200393,2.453133087212515,20,8.00681156284082,1.3068804473435627,2.3286515603595728,2.3286515603595728,319.0,0.0013485824363168647,1.1848075694089906,large,True,True,human,0.024948775071861995,True
cause (Causal),20,2.3221387457280263,1.5301943722592783,20,3.8968718351592138,1.1087476537281458,-1.5747330894311875,1.5747330894311875,87.0,0.002336832946004364,-1.1785233846225558,large,True,True,machine,0.027018871821804517,True
auxverb (Auxiliary Verbs),20,4.473182686188672,1.5237483166578725,20,3.0715731339336747,1.0809381469324433,1.401609552254997,1.401609552254997,302.0,0.006035589065049813,1.0609981741664152,large,True,True,human,0.04466335908136862,True
work (Work),20,3.1812452530124653,2.282511594743199,20,5.4517189613028005,2.018857660625083,-2.2704737082903352,2.2704737082903352,91.0,0.0033213981867216617,-1.0537204940727327,large,True,True,machine,0.03072293322717537,True
verb (Verbs),20,9.872495928896178,2.6351302492935016,20,7.525845152674078,1.734233656060815,2.3466507762221003,2.3466507762221003,312.0,0.002555839226386914,1.0520095252094566,large,True,True,human,0.027018871821804517,True
drives (Drives),20,9.24157460634776,3.3878013179893665,20,11.966509786572782,1.8076192930261799,-2.724935180225023,2.724935180225023,81.0,0.0013478780390969813,-1.0035832868327372,large,True,True,machine,0.024948775071861995,True
pronoun (Pronouns),20,17.223922096124536,3.6471381328101904,20,14.410587576942868,1.7240155264493504,2.8133345191816677,2.8133345191816677,304.0,0.005115262023126529,0.9862596613369066,large,True,True,human,0.04205882107904035,True
function (Function Words),20,45.70112083368713,4.972396625109128,20,42.154571498548066,1.759506077878487,3.546549335139062,3.546549335139062,291.5,0.013829046681587999,0.9509065452161287,large,True,False,human,0.07871918880288553,False
achieve (Achievement),20,0.9978170717644229,0.7650456008697134,20,1.5887394315817973,0.6451706807618776,-0.5909223598173744,0.5909223598173744,106.0,0.01135566266948569,-0.8350476850812408,large,True,False,machine,0.07002658646182842,False
percept (Perceptual Processes),20,2.2710930916794343,1.6159938867767543,20,1.2402366534854392,0.6772623447200192,1.030856438193995,1.030856438193995,276.0,0.041104602001774584,0.8320232701777055,large,True,False,human,0.17450409087911434,False
power (Power),20,3.5804949200994876,3.1166787766158266,20,5.618427892611246,1.528365233360569,-2.0379329725117583,2.0379329725117583,86.0,0.0021341076587302835,-0.8302689851390501,large,True,True,machine,0.027018871821804517,True
you (You),20,1.1848507305610207,1.1578610283271464,20,0.439137409308914,0.5244082587995037,0.7457133212521068,0.7457133212521068,279.5,0.029666927359457494,0.8296860148319684,large,True,False,human,0.1553271133671664,False
risk (Risk),20,2.1333328023945577,1.5841475830213387,20,3.144031515943232,1.185936360190294,-1.0106987135486745,1.0106987135486745,120.0,0.03148522568253373,-0.7222991595346822,medium,True,False,machine,0.1553271133671664,False
informal (Informal Language),20,1.041209708946775,1.390013286570624,20,0.36305662070380396,0.4450164286366989,0.6781530882429709,0.6781530882429709,273.5,0.04531797340481964,0.6571052560811275,medium,True,False,human,0.17650158062929755,False
cogproc (Cognitive Processes),20,9.185261721034852,2.6487900260771147,20,10.689198999799288,1.87503452123788,-1.503937278764436,1.503937278764436,132.0,0.06781657681198607,-0.6553790174837497,medium,False,False,machine,0.21971438709740662,False
social (Social),20,8.09301035573347,3.982257056440936,20,6.065638805082569,1.9730465544620965,2.0273715506509014,2.0273715506509014,261.0,0.10171258013815739,0.645135111802657,medium,False,False,human,0.2595424458697809,False
i (I),20,0.20197747796757698,0.4435482226873514,20,0.0,0.0,0.20197747796757698,0.20197747796757698,240.0,0.04016134287788318,0.6439869985388308,medium,True,False,human,0.17450409087911434,False
see (See),20,1.266360846984682,1.2271447665824944,20,0.6716515123807627,0.5545119231558192,0.5947093346039194,0.5947093346039194,243.0,0.24384731487782219,0.6245638005753605,medium,False,False,human,0.5307265088517306,False
netspeak (Netspeak),20,0.7539815896355542,1.2827162652125563,20,0.1696306696306696,0.460661908957048,0.5843509200048845,0.5843509200048845,256.0,0.07125872013969944,0.6063398159794037,medium,False,False,human,0.21971438709740662,False
relativ (Relativity),20,11.573535159256135,4.771692472242434,20,13.82883371700782,2.3185702728325124,-2.2552985577516846,2.2552985577516846,105.0,0.010581211443165648,-0.6012011798121282,medium,True,False,machine,0.07002658646182842,False
insight (Insight),20,1.3293496242534346,1.0945413478796238,20,1.883019277084329,0.7893717452198213,-0.5536696528308944,0.5536696528308944,131.0,0.06376766173381475,-0.5802236419327288,medium,False,False,machine,0.21971438709740662,False
body (Body),20,0.43499671632514775,0.767030933057536,20,0.11794836779863878,0.15240106307150061,0.317048348526509,0.317048348526509,229.0,0.3840050503264285,0.5733503165340907,medium,False,False,human,0.6086489213284765,False
shehe (SheHe),20,8.006320614231353,2.8982405729995993,20,6.732795554982765,1.2770720407994125,1.2735250592485876,1.2735250592485876,265.0,0.08103174924185103,0.5686651644960337,medium,False,False,human,0.23768538283109256,False
discrep (Discrepancies),20,1.7866218847215816,1.1782194152996572,20,1.2524140482502242,0.6196101513951763,0.5342078364713574,0.5342078364713574,263.0,0.0908922286013033,0.5675171197126999,medium,False,False,human,0.24911203394431278,False
money (Money),20,1.3856578807159303,1.5299791868425985,20,2.2215919758962928,1.6677108568558878,-0.8359340951803624,0.8359340951803624,130.0,0.05910220300400488,-0.5223519109947052,medium,False,False,machine,0.21867815111481806,False
hear (Hear),20,0.6669906076065338,0.886718964287645,20,0.3164884655707612,0.41453126150341085,0.3505021420357726,0.3505021420357726,228.0,0.42653678448993326,0.506405878329044,medium,False,False,human,0.6441575929031644,False
