uid,source,group,dataset,model,sentences,words,syllables,syllables_per_sentence,syllables_per_word
fakebr:1006,fakebr,human,fakebr_human,,8,178,364,45.5,2.044943820224719
fakebr:1006,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,15,457,1109,73.93333333333334,2.426695842450766
fakebr:104,fakebr,human,fakebr_human,,42,549,1159,27.595238095238095,2.111111111111111
fakebr:104,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,338,855,95.0,2.529585798816568
fakebr:1129,fakebr,human,fakebr_human,,14,234,517,36.92857142857143,2.2094017094017095
fakebr:1129,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,12,420,1078,89.83333333333333,2.566666666666667
fakebr:2623,fakebr,human,fakebr_human,,11,174,385,35.0,2.2126436781609193
fakebr:2623,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,16,483,1177,73.5625,2.4368530020703933
fakebr:3020,fakebr,human,fakebr_human,,7,100,247,35.285714285714285,2.47
fakebr:3020,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,12,433,1079,89.91666666666667,2.491916859122402
fakebr:3041,fakebr,human,fakebr_human,,9,159,329,36.55555555555556,2.069182389937107
fakebr:3041,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,13,365,852,65.53846153846153,2.334246575342466
fakebr:421,fakebr,human,fakebr_human,,12,174,408,34.0,2.3448275862068964
fakebr:421,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,14,493,1293,92.35714285714286,2.6227180527383367
fakebr:458,fakebr,human,fakebr_human,,10,293,644,64.4,2.197952218430034
fakebr:458,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,12,408,1056,88.0,2.588235294117647
fakebr:573,fakebr,human,fakebr_human,,10,207,428,42.8,2.0676328502415457
fakebr:573,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,12,355,927,77.25,2.611267605633803
fakebr:917,fakebr,human,fakebr_human,,10,100,212,23.555555555555557,2.12
fakebr:917,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,24,472,1151,47.958333333333336,2.4385593220338984
faketruebr:1043,faketruebr,human,faketruebr_human,,3,128,289,96.33333333333333,2.2578125
faketruebr:1043,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,10,324,762,76.2,2.3518518518518516
faketruebr:1429,faketruebr,human,faketruebr_human,,16,217,470,31.333333333333332,2.165898617511521
faketruebr:1429,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,12,366,937,78.08333333333333,2.560109289617486
faketruebr:1587,faketruebr,human,faketruebr_human,,4,124,296,74.0,2.3870967741935485
faketruebr:1587,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,8,247,627,78.375,2.5384615384615383
faketruebr:1773,faketruebr,human,faketruebr_human,,6,67,150,25.0,2.2388059701492535
faketruebr:1773,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,11,398,1011,91.9090909090909,2.540201005025126
faketruebr:215,faketruebr,human,faketruebr_human,,5,93,227,45.4,2.4408602150537635
faketruebr:215,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,13,275,674,51.84615384615385,2.4509090909090907
faketruebr:230,faketruebr,human,faketruebr_human,,3,86,192,64.0,2.2325581395348837
faketruebr:230,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,9,279,706,78.44444444444444,2.5304659498207887
faketruebr:509,faketruebr,human,faketruebr_human,,10,159,353,39.22222222222222,2.220125786163522
faketruebr:509,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,11,312,799,72.63636363636364,2.5608974358974357
faketruebr:542,faketruebr,human,faketruebr_human,,9,199,422,46.888888888888886,2.120603015075377
faketruebr:542,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,11,293,754,68.54545454545455,2.573378839590444
faketruebr:70,faketruebr,human,faketruebr_human,,6,76,177,29.5,2.3289473684210527
faketruebr:70,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,11,374,995,90.45454545454545,2.660427807486631
faketruebr:74,faketruebr,human,faketruebr_human,,6,135,232,38.666666666666664,1.7185185185185186
faketruebr:74,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,10,345,851,85.1,2.466666666666667
