rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
NOUN(*),0.7562553619301959,0.8661647656765906,-0.10990940374639468,0.10990940374639468,20,20,100.0,100.0,59.0,0.0001443825593152782,-1.3807919794688839,large,machine,0.002922255252755036,True
PROPN(*),0.15182988233868033,0.1919771496050681,-0.04014726726638776,0.04014726726638776,11,20,55.0,100.0,140.0,0.1055298039959066,-0.2666368347644696,small,machine,0.3046178597822009,False
"NOUN(*, PRON/ref)",0.01431265686358502,0.052355679110573594,-0.03804302224698858,0.03804302224698858,6,20,30.0,100.0,45.0,1.942578785884869e-05,-1.7838691870340015,large,machine,0.0009481613673357664,True
"ADV(*, NOUN/obl:de)",0.004344248269267329,0.03174364504164859,-0.02739939677238126,0.02739939677238126,2,17,10.0,85.0,56.0,2.7090324781021897e-05,-1.486148486945556,large,machine,0.0009481613673357664,True
"SYM(*, NOUN/nmod:de)",0.029151687547736848,0.0018684634290002861,0.02728322411873656,0.02728322411873656,4,1,20.0,5.0,232.0,0.13812397547208768,0.44531118058932173,small,human,0.35809919566837545,False
"VERB(NOUN/nsubj, *)",0.0252958531317032,0.051299814581137124,-0.026003961449433923,0.026003961449433923,11,20,55.0,100.0,90.0,0.002893810847613959,-0.9103465779390106,large,machine,0.02532084491662214,True
VERB(*),0.183534319659917,0.15966926398953643,0.02386505567038058,0.02386505567038058,19,20,95.0,100.0,206.0,0.8817307917391243,0.23669495204621663,small,human,0.9351690215414954,False
"NOUN(*, NOUN/nmod:de)",0.15705410865594,0.17981150265708096,-0.022757394001140963,0.022757394001140963,19,20,95.0,100.0,154.0,0.21840551261012597,-0.29260544019583,small,machine,0.42276228594370013,False
"NOUN(*, NOUN/nmod:sobre)",0.0,0.02208260230103113,-0.02208260230103113,0.02208260230103113,0,9,0.0,45.0,110.0,0.0009302976856460412,-1.0133407520416158,large,machine,0.010757451677448088,True
"NOUN(*, PROPN/nmod:em)",0.0021621200885644154,0.022256926886478328,-0.020094806797913912,0.020094806797913912,1,11,5.0,55.0,101.5,0.0010757451677448088,-1.0117252747262346,large,machine,0.010757451677448088,True
"PRON(*, PRON/ref)",0.021294819838166158,0.0025179883722092717,0.018776831465956885,0.018776831465956885,7,2,35.0,10.0,257.0,0.036612597170316966,0.8515059958315879,large,human,0.1708587867948125,False
"NOUN(*, NOUN/conj:e)",0.031609677862792576,0.049234042201228866,-0.01762436433843629,0.01762436433843629,9,19,45.0,95.0,121.5,0.03245242540173127,-0.47253683545664826,small,machine,0.16226212700865636,False
"NOUN(*, NOUN/nmod:de, PRON/ref)",0.0,0.01759405430972454,-0.01759405430972454,0.01759405430972454,0,11,0.0,55.0,90.0,0.0001669860144431449,-1.3092487179467684,large,machine,0.002922255252755036,True
"VERB(*, PROPN/obl:em)",0.022997743661589222,0.007553171420640816,0.015444572240948407,0.015444572240948407,3,5,15.0,25.0,184.5,0.5614263561000019,0.31397894913766616,small,human,0.7415065080566062,False
"VERB(*, NOUN/obj)",0.00918822754350512,0.02453662267544914,-0.015348395131944019,0.015348395131944019,4,15,20.0,75.0,106.0,0.0062494734908727055,-0.8246915477458219,large,machine,0.043746314436108935,True
"ADV(*, VERB/acl:de)",0.0,0.014874455715706017,-0.014874455715706017,0.014874455715706017,0,7,0.0,35.0,130.0,0.0045320590791432455,-0.9322529112422029,large,machine,0.035249348393336356,True
"ADV(*, PRON/obl:de)",0.0010436523143222474,0.015517315121237222,-0.014473662806914974,0.014473662806914974,1,12,5.0,60.0,87.0,0.00025577977976292066,-1.4356798136444757,large,machine,0.003580916916680889,True
"NOUN(*, NOUN/nmod:com)",0.008569239621549402,0.023009908610221202,-0.014440668988671801,0.014440668988671801,3,10,15.0,50.0,133.0,0.030669080749222442,-0.5635512745883369,medium,machine,0.16226212700865636,False
"VERB(*, NOUN/obl:com)",0.01713036554395352,0.0038231084535142678,0.013307257090439251,0.013307257090439251,5,3,25.0,15.0,225.5,0.33310747605133795,0.5372114075443595,medium,human,0.5422679842696199,False
"VERB(NOUN/obl:em, *)",0.026296801972203254,0.01430280993316439,0.011993992039038864,0.011993992039038864,8,9,40.0,45.0,217.0,0.6199804180377007,0.41801493666937894,small,human,0.7613794607480535,False
ADV(*),0.022497355902225364,0.010513391582467752,0.011983964319757612,0.011983964319757612,4,6,20.0,30.0,186.0,0.6310911822607577,0.27262442382150015,small,human,0.7616617716940178,False
"VERB(*, NOUN/obl:de)",0.024739593353112176,0.01339084394778339,0.011348749405328786,0.011348749405328786,8,9,40.0,45.0,222.0,0.5181859784524852,0.4271223030463664,small,human,0.7402656835035503,False
"ADJ(*, ADJ/conj:e)",0.007751844963140899,0.019035391620948104,-0.011283546657807205,0.011283546657807205,3,10,15.0,50.0,140.0,0.05313396187204797,-0.5705852963084949,medium,machine,0.21199908836194606,False
"ADJ(*, NOUN/obl:a)",0.00283453640092629,0.013929333604399163,-0.011094797203472874,0.011094797203472874,2,8,10.0,40.0,139.0,0.03139974735919863,-0.6784445703177736,medium,machine,0.16226212700865636,False
"PROPN(ADP/case, *)",0.002785048023909476,0.013859515484513935,-0.011074467460604458,0.011074467460604458,1,5,5.0,25.0,160.5,0.08951565585589712,-0.5274860103963457,medium,machine,0.3046178597822009,False
"NOUN(ADP/case, *)",0.037632923543204154,0.02675484681505333,0.010878076728150825,0.010878076728150825,9,13,45.0,65.0,198.5,0.9773668599536914,0.25189266046207526,small,human,0.9891804500261824,False
"NOUN(*, ADJ/amod)",0.002691192465623371,0.013532658972679898,-0.010841466507056526,0.010841466507056526,1,8,5.0,40.0,134.0,0.015393456380801512,-0.7302938286979745,medium,machine,0.0979583587869187,False
"VERB(*, NOUN/obl:a)",0.012190497695804662,0.022937437310433125,-0.010746939614628463,0.010746939614628463,5,12,25.0,60.0,136.0,0.056342203126255576,-0.4426449616594923,small,machine,0.21199908836194606,False
"VERB(*, VERB/advcl:para)",0.010102975009063452,0.02042024574020276,-0.010317270731139309,0.010317270731139309,4,10,20.0,50.0,147.0,0.09548323209754737,-0.439318701344249,small,machine,0.3046178597822009,False
"VERB(PRON/nsubj, *)",0.019513752135695294,0.00949694092151963,0.010016811214175664,0.010016811214175664,5,5,25.0,25.0,212.5,0.6694980921365306,0.34574511318410145,small,human,0.7943197703314769,False
"VERB(*, VERB/conj:mas)",0.01908806330517472,0.009112722149203657,0.009975341155971065,0.009975341155971065,4,5,20.0,25.0,199.0,0.9852430985323205,0.31134017955178417,small,human,0.9891804500261824,False
"NOUN(*, NUM/nmod:de)",0.01800035234578505,0.009040948029294223,0.008959404316490827,0.008959404316490827,5,5,25.0,25.0,207.5,0.8033698934130901,0.31865016960255743,small,human,0.8926332149034334,False
ADJ(*),0.04403625672438985,0.03514117962832748,0.008895077096062368,0.008895077096062368,10,11,50.0,55.0,218.0,0.6164286407888774,0.21097004907624775,small,human,0.7613794607480535,False
"NOUN(*, NOUN/nmod:por)",0.011477213255874951,0.003081783932304569,0.008395429323570382,0.008395429323570382,3,2,15.0,10.0,213.0,0.5562517286918012,0.40218103275146444,small,human,0.7415065080566062,False
"NOUN(*, NOUN/nmod:de, NOUN/nmod:de)",0.022226783920618293,0.01418445939629125,0.008042324524327044,0.008042324524327044,5,10,25.0,50.0,175.0,0.4459648172551115,0.24054213183865922,small,human,0.6786421132143001,False
"NOUN(*, NOUN/nmod:de, NOUN/conj:e)",0.004597926790141076,0.012073314537375876,-0.0074753877472348,0.0074753877472348,2,7,10.0,35.0,155.0,0.0997325073931557,-0.4534949041748182,small,machine,0.3046178597822009,False
"VERB(NOUN/nsubj:pass, *)",0.014003232823981526,0.0065622403749071075,0.007440992449074419,0.007440992449074419,3,4,15.0,20.0,195.0,0.8541779735579483,0.2577814067392159,small,human,0.9203221320138548,False
"NOUN(*, NOUN/nmod:em)",0.035277583291563046,0.027876109813191236,0.00740147347837181,0.00740147347837181,15,17,75.0,85.0,235.5,0.3418554712379681,0.295972829689167,small,human,0.5438609769694946,False
"VERB(*, NOUN/obl:como)",0.0025896935451804543,0.00970833279508626,-0.0071186392499058065,0.0071186392499058065,1,6,5.0,30.0,153.0,0.0575426096982425,-0.536909259998803,medium,machine,0.21199908836194606,False
"VERB(*, NOUN/obl:em)",0.03636530706703005,0.02943825947470303,0.006927047592327016,0.006927047592327016,13,20,65.0,100.0,199.0,0.9891804500261824,0.21680162439433903,small,human,0.9891804500261824,False
X(*),0.014025458329700008,0.007132536758897083,0.006892921570802925,0.006892921570802925,2,3,10.0,15.0,193.0,0.7596218659702029,0.21247041716103074,small,human,0.8576375906115195,False
SCONJ(*),0.007370454047988034,0.013977321765679288,-0.006606867717691254,0.006606867717691254,3,7,15.0,35.0,161.5,0.17648719883956754,-0.3106248246148751,small,machine,0.39468539078706355,False
"VERB(*, NOUN/obl:para)",0.009255796934691975,0.015744125249224215,-0.00648832831453224,0.00648832831453224,3,8,15.0,40.0,159.0,0.1638339648671142,-0.28766869433200076,small,machine,0.38227925135659985,False
"PROPN(*, PROPN/nmod:de)",0.010889626688901206,0.004581513057559962,0.006308113631341245,0.006308113631341245,2,3,10.0,15.0,193.0,0.7596218659702029,0.2312651636815023,small,human,0.8576375906115195,False
"NOUN(*, NOUN/conj:e, NOUN/conj:e)",0.011745833603307217,0.0056406539062791704,0.006105179697028047,0.006105179697028047,3,3,15.0,15.0,201.5,0.9652731605495289,0.2466101364739181,small,human,0.9891804500261824,False
"NOUN(*, NOUN/nmod:para)",0.008380141244845655,0.013934571357680638,-0.0055544301128349835,0.0055544301128349835,4,10,20.0,50.0,149.0,0.10879209277935747,-0.32647188268991145,small,machine,0.3046178597822009,False
"NOUN(*, NOUN/conj:e, NOUN/nmod:de)",0.010013089901646571,0.004558902854605519,0.005454187047041052,0.005454187047041052,3,2,15.0,10.0,212.0,0.588270083860515,0.2521253607641954,small,human,0.7530618175405485,False
"NOUN(*, NOUN/nmod:de, NOUN/nmod:em)",0.006194634652347283,0.011565562429195842,-0.005370927776848559,0.005370927776848559,2,6,10.0,30.0,162.0,0.14655431090662563,-0.26029123603560417,small,machine,0.36638577726656407,False
SYM(*),0.01945416006483421,0.014453452622226956,0.005000707442607253,0.005000707442607253,5,4,25.0,20.0,215.0,0.5916914280675738,0.13252630847243727,negligible,human,0.7530618175405485,False
"VERB(*, VERB/ccomp)",0.006460886493350718,0.011370323084982717,-0.004909436591631999,0.004909436591631999,2,7,10.0,35.0,157.0,0.1159117195058553,-0.27329230957664813,small,machine,0.31207001405422585,False
"NOUN(*, PROPN/nmod:de)",0.06474611195663929,0.0601875294963804,0.004558582460258892,0.004558582460258892,9,19,45.0,95.0,155.5,0.22762526248948012,0.06489135784216062,negligible,human,0.42276228594370013,False
"NOUN(*, NOUN/nmod:a)",0.015490743576998988,0.01976015500696695,-0.004269411429967961,0.004269411429967961,7,9,35.0,45.0,193.5,0.8545848368700081,-0.15660491006650085,negligible,machine,0.9203221320138548,False
"VERB(NOUN/nsubj, *, VERB/conj:e)",0.00328196128533767,0.0075072052388726355,-0.0042252439535349655,0.0042252439535349655,1,4,5.0,20.0,172.0,0.19548596959845044,-0.28347060453259637,small,machine,0.39468539078706355,False
"PROPN(*, PROPN/conj:e)",0.012074063325545385,0.01627792801904138,-0.004203864693495995,0.004203864693495995,3,6,15.0,30.0,173.0,0.32694168062625506,-0.13483863519889552,negligible,machine,0.5422679842696199,False
"VERB(*, VERB/conj:e)",0.018994987826014095,0.023055667302389,-0.004060679476374906,0.004060679476374906,7,14,35.0,70.0,150.0,0.15651710275628944,-0.14619244292842495,negligible,machine,0.3777999032048366,False
"NOUN(*, VERB/acl:de)",0.004284004215770134,0.00820888509416209,-0.003924880878391957,0.003924880878391957,2,5,10.0,25.0,171.0,0.24442191569318483,-0.27538114610887154,small,machine,0.42276228594370013,False
"PROPN(*, NOUN/conj:e)",0.007383648379083908,0.011307299164022558,-0.0039236507849386495,0.0039236507849386495,1,6,5.0,30.0,153.0,0.0575426096982425,-0.14771855089696503,negligible,machine,0.21199908836194606,False
AUX(*),0.015326016865489758,0.01159433584942091,0.0037316810160688482,0.0037316810160688482,6,10,30.0,50.0,180.0,0.5514204051359485,0.1884049548652923,negligible,human,0.7415065080566062,False
