rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
ADJ(*),0.10205236922489994,0.1853915071233807,-0.08333913789848077,0.08333913789848077,20,20,100.0,100.0,40.0,1.5997235246344776e-05,-1.9376297060749046,large,machine,0.0012397857315917201,True
PROPN(*),0.14184958016189236,0.2151163848685648,-0.07326680470667243,0.07326680470667243,17,20,85.0,100.0,126.0,0.046750379383895695,-0.5929027152664185,medium,machine,0.1908605362797388,False
ADP(*),0.393392183211576,0.4477636646585369,-0.05437148144696091,0.05437148144696091,20,20,100.0,100.0,106.0,0.011432829308440093,-0.8616432518434886,large,machine,0.08054947921855521,False
VERB(*),0.16547106716543036,0.21729407872601542,-0.05182301156058505,0.05182301156058505,20,20,100.0,100.0,70.0,0.0004600727270090418,-1.3928660048636117,large,machine,0.011584503375521542,True
CCONJ(*),0.07544357049397538,0.05485402272766339,0.020589547766311986,0.020589547766311986,20,19,100.0,95.0,245.0,0.22869435423745565,0.5791916025521104,medium,human,0.4219955346048289,False
ADV(*),0.08881820513987485,0.10765136740333774,-0.01883316226346289,0.01883316226346289,19,20,95.0,100.0,126.0,0.04679161534600049,-0.4492315923033589,small,machine,0.1908605362797388,False
"NOUN(ADP/case, *, ADJ/amod)",0.011228716779177897,0.030005980289434735,-0.01877726351025684,0.01877726351025684,9,20,45.0,100.0,79.0,0.0009887781190061392,-1.2709038805312367,large,machine,0.014376214956241497,True
"NOUN(CCONJ/cc, *)",0.025164399471431266,0.006414893678916447,0.018749505792514817,0.018749505792514817,10,10,50.0,50.0,237.0,0.2912621379760004,0.7471592160748636,medium,human,0.5130185384804553,False
"PROPN(ADP/case, DET/det, *)",0.025879376077939043,0.044345376403231565,-0.018466000325292522,0.018466000325292522,11,19,55.0,95.0,117.5,0.025386142329515908,-0.6698369082767052,medium,machine,0.12693071164757955,False
*(NOUN),0.032366371881042875,0.01594930978618787,0.016417062094855005,0.016417062094855005,14,10,70.0,50.0,266.0,0.06707852888768744,0.5991400878249872,medium,human,0.22732434371967192,False
NOUN(*),0.5427327947496281,0.5582613759350978,-0.015528581185469736,0.015528581185469736,20,20,100.0,100.0,178.0,0.5608516966002302,-0.222533297106499,small,machine,0.7437699589358999,False
AUX(*),0.07133206725369265,0.08542741312308796,-0.014095345869395315,0.014095345869395315,19,20,95.0,100.0,146.0,0.14784658271436188,-0.47508777347077835,small,machine,0.3525572357034783,False
X(*),0.020692313458862247,0.007101810492972542,0.013590502965889706,0.013590502965889706,6,6,30.0,30.0,213.0,0.6766178681454846,0.4278640219245666,small,human,0.8395851106436756,False
"NOUN(DET/det, *, NOUN/nmod)",0.027314091891447373,0.014310751236222063,0.01300334065522531,0.01300334065522531,16,15,80.0,75.0,267.0,0.07044448422365347,0.749871558780121,medium,human,0.23231691605672955,False
"VERB(ADP/mark, *, NOUN/obj)",0.006547441611359088,0.019246992747479236,-0.012699551136120148,0.012699551136120148,6,18,30.0,90.0,82.0,0.0010202475130235901,-0.9927315109943438,large,machine,0.014376214956241497,True
"SYM(NUM/nummod, *, NOUN/nmod)",0.013802368446284732,0.001638459006083026,0.012163909440201705,0.012163909440201705,4,2,20.0,10.0,224.0,0.30624702497134626,0.4134107736700009,small,human,0.5172151057513843,False
"NOUN(ADP/case, *)",0.045913620904309504,0.05800624447042744,-0.012092623566117934,0.012092623566117934,15,20,75.0,100.0,141.0,0.11321266353081649,-0.3834357673333715,small,machine,0.28767152208650093,False
"NOUN(ADP/case, DET/det, *)",0.06471199623222681,0.05293907158931812,0.011772924642908696,0.011772924642908696,20,20,100.0,100.0,247.0,0.20845355458876536,0.49616947924462584,small,human,0.39402806050315403,False
"PROPN(*, PUNCT/punct)",0.0,0.011581798827944488,-0.011581798827944488,0.011581798827944488,0,14,0.0,70.0,60.0,9.42882670285241e-06,-1.8440269653705383,large,machine,0.0012397857315917201,True
"VERB(*, NOUN/obl:agent)",0.0015840540280731012,0.012765280952753037,-0.011181226924679936,0.011181226924679936,2,13,10.0,65.0,88.0,0.0005231711201848439,-1.0833224408347608,large,machine,0.011584503375521542,True
"NOUN(ADP/case, *, NOUN/conj)",0.013764121181380895,0.002786011153062583,0.010978110028318312,0.010978110028318312,4,4,20.0,20.0,208.0,0.7715392391507198,0.46580751673905646,small,human,0.8829149996996701,False
PUNCT(*),0.293269276500807,0.28233409357271727,0.010935182928089704,0.010935182928089704,20,20,100.0,100.0,204.0,0.9245727283322236,0.14112994841875398,negligible,human,0.9879785709133265,False
