rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
ADJ(*),0.10205236922489994,0.1853915071233807,-0.08333913789848077,0.08333913789848077,20,20,100.0,100.0,40.0,1.5997235246344776e-05,-1.9376297060749046,large,machine,0.0012397857315917201,True
PROPN(*),0.14184958016189236,0.2151163848685648,-0.07326680470667243,0.07326680470667243,17,20,85.0,100.0,126.0,0.046750379383895695,-0.5929027152664185,medium,machine,0.1908605362797388,False
ADP(*),0.393392183211576,0.4477636646585369,-0.05437148144696091,0.05437148144696091,20,20,100.0,100.0,106.0,0.011432829308440093,-0.8616432518434886,large,machine,0.08054947921855521,False
VERB(*),0.16547106716543036,0.21729407872601542,-0.05182301156058505,0.05182301156058505,20,20,100.0,100.0,70.0,0.0004600727270090418,-1.3928660048636117,large,machine,0.011584503375521542,True
ADV(*),0.08881820513987485,0.10765136740333774,-0.01883316226346289,0.01883316226346289,19,20,95.0,100.0,126.0,0.04679161534600049,-0.4492315923033589,small,machine,0.1908605362797388,False
"NOUN(ADP/case, *, ADJ/amod)",0.011228716779177897,0.030005980289434735,-0.01877726351025684,0.01877726351025684,9,20,45.0,100.0,79.0,0.0009887781190061392,-1.2709038805312367,large,machine,0.014376214956241497,True
"PROPN(ADP/case, DET/det, *)",0.025879376077939043,0.044345376403231565,-0.018466000325292522,0.018466000325292522,11,19,55.0,95.0,117.5,0.025386142329515908,-0.6698369082767052,medium,machine,0.12693071164757955,False
NOUN(*),0.5427327947496281,0.5582613759350978,-0.015528581185469736,0.015528581185469736,20,20,100.0,100.0,178.0,0.5608516966002302,-0.222533297106499,small,machine,0.7437699589358999,False
AUX(*),0.07133206725369265,0.08542741312308796,-0.014095345869395315,0.014095345869395315,19,20,95.0,100.0,146.0,0.14784658271436188,-0.47508777347077835,small,machine,0.3525572357034783,False
"VERB(ADP/mark, *, NOUN/obj)",0.006547441611359088,0.019246992747479236,-0.012699551136120148,0.012699551136120148,6,18,30.0,90.0,82.0,0.0010202475130235901,-0.9927315109943438,large,machine,0.014376214956241497,True
"NOUN(ADP/case, *)",0.045913620904309504,0.05800624447042744,-0.012092623566117934,0.012092623566117934,15,20,75.0,100.0,141.0,0.11321266353081649,-0.3834357673333715,small,machine,0.28767152208650093,False
"PROPN(*, PUNCT/punct)",0.0,0.011581798827944488,-0.011581798827944488,0.011581798827944488,0,14,0.0,70.0,60.0,9.42882670285241e-06,-1.8440269653705383,large,machine,0.0012397857315917201,True
"VERB(*, NOUN/obl:agent)",0.0015840540280731012,0.012765280952753037,-0.011181226924679936,0.011181226924679936,2,13,10.0,65.0,88.0,0.0005231711201848439,-1.0833224408347608,large,machine,0.011584503375521542,True
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.0038691899413264993,0.013583761516371085,-0.009714571575044585,0.009714571575044585,4,14,20.0,70.0,99.0,0.0029103145792349484,-0.9774112840039545,large,machine,0.03222133998438693,True
"NOUN(DET/det, *, ADJ/amod)",0.007231427780717323,0.01682658650942629,-0.009595158728708968,0.009595158728708968,6,17,30.0,85.0,108.0,0.010005916596164,-0.7480036041195228,medium,machine,0.07385319392406763,False
"NOUN(*, ADJ/amod)",0.009371077488883644,0.01893217154079157,-0.009561094051907925,0.009561094051907925,6,15,30.0,75.0,117.0,0.01820255306095077,-0.5978050537633435,medium,machine,0.10582220353846385,False
*(PROPN),0.002213073282050703,0.01130115120958862,-0.009088077927537916,0.009088077927537916,2,15,10.0,75.0,72.0,0.00012721672610838166,-1.0877420087140668,large,machine,0.0049296481366997895,True
"VERB(PRON/nsubj, *, VERB/xcomp)",0.0,0.009053425368139901,-0.009053425368139901,0.009053425368139901,0,13,0.0,65.0,70.0,2.5658810724658614e-05,-1.6823083809998776,large,machine,0.0013257052207740283,True
"NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",0.0016240374524120276,0.010334852053768141,-0.008710814601356113,0.008710814601356113,1,13,5.0,65.0,86.5,0.00033276904080425013,-1.0510930635438733,large,machine,0.010315840264931753,True
"ADV(*, SCONJ/fixed)",0.0,0.008375074778305448,-0.008375074778305448,0.008375074778305448,0,9,0.0,45.0,110.0,0.0009302976856460412,-1.2288435211384447,large,machine,0.014376214956241497,True
"VERB(*, NOUN/obl)",0.006376866026725432,0.014611847311631423,-0.00823498128490599,0.00823498128490599,3,14,15.0,70.0,94.0,0.0015211685883838317,-0.4545187535321218,small,machine,0.019648427599957826,True
