uid,sent_id,source,group,dataset,words,rules,unique_rules
fakebr:1006,fakebr:1006-1,fakebr,human,fakebr_human,19,10,7
fakebr:1006,fakebr:1006-2,fakebr,human,fakebr_human,19,6,3
fakebr:1006,fakebr:1006-3,fakebr,human,fakebr_human,64,30,15
fakebr:1006,fakebr:1006-4,fakebr,human,fakebr_human,38,18,11
fakebr:1006,fakebr:1006-5,fakebr,human,fakebr_human,46,21,10
fakebr:1006,fakebr:1006-6,fakebr,human,fakebr_human,36,15,10
fakebr:1006,fakebr:1006-1,fakebr,machine,fakebr_machine,2,0,0
fakebr:1006,fakebr:1006-2,fakebr,machine,fakebr_machine,11,6,5
fakebr:1006,fakebr:1006-3,fakebr,machine,fakebr_machine,7,0,0
fakebr:1006,fakebr:1006-4,fakebr,machine,fakebr_machine,38,16,11
fakebr:1006,fakebr:1006-5,fakebr,machine,fakebr_machine,37,15,9
fakebr:1006,fakebr:1006-6,fakebr,machine,fakebr_machine,26,8,6
fakebr:1006,fakebr:1006-7,fakebr,machine,fakebr_machine,3,0,0
fakebr:1006,fakebr:1006-8,fakebr,machine,fakebr_machine,15,2,2
fakebr:1006,fakebr:1006-9,fakebr,machine,fakebr_machine,16,5,4
fakebr:1006,fakebr:1006-10,fakebr,machine,fakebr_machine,22,6,6
fakebr:1006,fakebr:1006-11,fakebr,machine,fakebr_machine,22,4,3
fakebr:1006,fakebr:1006-12,fakebr,machine,fakebr_machine,31,20,11
fakebr:1006,fakebr:1006-13,fakebr,machine,fakebr_machine,34,12,7
fakebr:1006,fakebr:1006-14,fakebr,machine,fakebr_machine,23,13,9
fakebr:1006,fakebr:1006-15,fakebr,machine,fakebr_machine,38,16,8
fakebr:1006,fakebr:1006-16,fakebr,machine,fakebr_machine,15,8,5
fakebr:1006,fakebr:1006-17,fakebr,machine,fakebr_machine,16,4,3
fakebr:1006,fakebr:1006-18,fakebr,machine,fakebr_machine,12,4,4
fakebr:1006,fakebr:1006-19,fakebr,machine,fakebr_machine,12,3,2
fakebr:1006,fakebr:1006-20,fakebr,machine,fakebr_machine,7,2,2
fakebr:1006,fakebr:1006-21,fakebr,machine,fakebr_machine,7,0,0
fakebr:104,fakebr:104-1,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-2,fakebr,human,fakebr_human,40,25,12
fakebr:104,fakebr:104-3,fakebr,human,fakebr_human,14,4,2
fakebr:104,fakebr:104-4,fakebr,human,fakebr_human,19,5,4
fakebr:104,fakebr:104-5,fakebr,human,fakebr_human,10,7,5
fakebr:104,fakebr:104-6,fakebr,human,fakebr_human,19,8,5
fakebr:104,fakebr:104-7,fakebr,human,fakebr_human,52,22,11
fakebr:104,fakebr:104-8,fakebr,human,fakebr_human,23,10,7
fakebr:104,fakebr:104-9,fakebr,human,fakebr_human,21,15,7
fakebr:104,fakebr:104-10,fakebr,human,fakebr_human,13,5,3
fakebr:104,fakebr:104-11,fakebr,human,fakebr_human,13,4,4
fakebr:104,fakebr:104-12,fakebr,human,fakebr_human,16,8,5
fakebr:104,fakebr:104-13,fakebr,human,fakebr_human,8,4,3
fakebr:104,fakebr:104-14,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-15,fakebr,human,fakebr_human,8,0,0
fakebr:104,fakebr:104-16,fakebr,human,fakebr_human,16,4,3
fakebr:104,fakebr:104-17,fakebr,human,fakebr_human,11,4,4
fakebr:104,fakebr:104-18,fakebr,human,fakebr_human,12,2,2
fakebr:104,fakebr:104-19,fakebr,human,fakebr_human,14,8,7
fakebr:104,fakebr:104-20,fakebr,human,fakebr_human,9,4,4
fakebr:104,fakebr:104-21,fakebr,human,fakebr_human,18,7,6
fakebr:104,fakebr:104-22,fakebr,human,fakebr_human,14,4,4
fakebr:104,fakebr:104-23,fakebr,human,fakebr_human,25,13,10
fakebr:104,fakebr:104-24,fakebr,human,fakebr_human,15,4,4
fakebr:104,fakebr:104-25,fakebr,human,fakebr_human,10,2,2
fakebr:104,fakebr:104-26,fakebr,human,fakebr_human,6,0,0
fakebr:104,fakebr:104-27,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-28,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-29,fakebr,human,fakebr_human,12,6,5
fakebr:104,fakebr:104-30,fakebr,human,fakebr_human,8,7,5
fakebr:104,fakebr:104-31,fakebr,human,fakebr_human,13,5,4
fakebr:104,fakebr:104-32,fakebr,human,fakebr_human,30,13,9
fakebr:104,fakebr:104-33,fakebr,human,fakebr_human,6,0,0
fakebr:104,fakebr:104-34,fakebr,human,fakebr_human,13,5,3
fakebr:104,fakebr:104-35,fakebr,human,fakebr_human,9,2,2
fakebr:104,fakebr:104-36,fakebr,human,fakebr_human,17,6,6
fakebr:104,fakebr:104-37,fakebr,human,fakebr_human,4,0,0
fakebr:104,fakebr:104-38,fakebr,human,fakebr_human,3,0,0
fakebr:104,fakebr:104-39,fakebr,human,fakebr_human,7,2,2
fakebr:104,fakebr:104-40,fakebr,human,fakebr_human,6,2,2
fakebr:104,fakebr:104-41,fakebr,human,fakebr_human,17,8,6
fakebr:104,fakebr:104-42,fakebr,human,fakebr_human,13,4,3
fakebr:104,fakebr:104-43,fakebr,human,fakebr_human,8,2,2
fakebr:104,fakebr:104-44,fakebr,human,fakebr_human,22,11,9
fakebr:104,fakebr:104-45,fakebr,human,fakebr_human,13,6,6
fakebr:104,fakebr:104-46,fakebr,human,fakebr_human,16,6,4
fakebr:104,fakebr:104-47,fakebr,human,fakebr_human,7,0,0
fakebr:104,fakebr:104-1,fakebr,machine,fakebr_machine,2,0,0
fakebr:104,fakebr:104-2,fakebr,machine,fakebr_machine,13,4,4
fakebr:104,fakebr:104-3,fakebr,machine,fakebr_machine,17,10,7
fakebr:104,fakebr:104-4,fakebr,machine,fakebr_machine,44,6,3
fakebr:104,fakebr:104-5,fakebr,machine,fakebr_machine,43,20,11
fakebr:104,fakebr:104-6,fakebr,machine,fakebr_machine,10,4,3
fakebr:104,fakebr:104-7,fakebr,machine,fakebr_machine,23,10,8
fakebr:104,fakebr:104-8,fakebr,machine,fakebr_machine,21,10,7
fakebr:104,fakebr:104-9,fakebr,machine,fakebr_machine,51,24,12
fakebr:104,fakebr:104-10,fakebr,machine,fakebr_machine,27,4,4
fakebr:104,fakebr:104-11,fakebr,machine,fakebr_machine,40,19,9
fakebr:104,fakebr:104-12,fakebr,machine,fakebr_machine,25,7,5
fakebr:104,fakebr:104-13,fakebr,machine,fakebr_machine,26,12,8
fakebr:104,fakebr:104-14,fakebr,machine,fakebr_machine,15,2,2
fakebr:104,fakebr:104-15,fakebr,machine,fakebr_machine,27,16,7
fakebr:1129,fakebr:1129-1,fakebr,human,fakebr_human,8,2,2
fakebr:1129,fakebr:1129-2,fakebr,human,fakebr_human,12,9,6
fakebr:1129,fakebr:1129-3,fakebr,human,fakebr_human,13,0,0
fakebr:1129,fakebr:1129-4,fakebr,human,fakebr_human,12,9,7
