rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
PROPN(*),0.15188648249285625,0.2547899124960033,-0.10290343000314706,0.10290343000314706,11,20,55.0,100.0,114.0,0.02002329394572632,-0.6550853554914019,medium,machine,0.11371224970746317,False
NOUN(*),0.7553164434894197,0.8188709054489122,-0.06355446195949244,0.06355446195949244,20,20,100.0,100.0,139.0,0.10172863141500606,-0.7653436411096292,medium,machine,0.3301918287213071,False
"NOUN(*, PRON/ref)",0.014683026796425889,0.07509347696511318,-0.06041045016868729,0.06041045016868729,6,19,30.0,95.0,40.0,9.315306473006874e-06,-1.8740014559658227,large,machine,0.0007172785984215294,True
"VERB(NOUN/nsubj, *)",0.025207377605568664,0.07252595585018314,-0.04731857824461447,0.04731857824461447,11,20,55.0,100.0,64.0,0.0002277231408959286,-1.4062358832505493,large,machine,0.008767340924493251,True
PRON(*),0.08786523459918726,0.1263115962919819,-0.03844636169279465,0.03844636169279465,16,20,80.0,100.0,114.0,0.020674954492266032,-0.5913458293656568,medium,machine,0.11371224970746317,False
ADJ(*),0.04812168938254598,0.02076381629483013,0.027357873087715853,0.027357873087715853,10,8,50.0,40.0,246.0,0.17771593574477507,0.6280956167094408,medium,human,0.44080417125935634,False
"NOUN(*, PROPN/nmod:em)",0.002244358890992359,0.024490835376371537,-0.02224647648537918,0.02224647648537918,1,10,5.0,50.0,109.0,0.0018634685577059932,-1.1048529781126766,large,machine,0.04782902631445383,True
"SYM(*, NOUN/nmod:de)",0.02654743154277477,0.0056643210687621634,0.020883110474012607,0.020883110474012607,4,3,20.0,15.0,216.0,0.5266974367880024,0.3690214430420272,small,human,0.7510315302347441,False
"ADV(*, NOUN/obl:de)",0.005232816325520131,0.024409619677264467,-0.019176803351744334,0.019176803351744334,2,11,10.0,55.0,112.0,0.004456943856511535,-0.8961744373157123,large,machine,0.0498526498705757,True
"NOUN(*, NOUN/conj:e)",0.038891033395126486,0.01975315391220484,0.019137879482921647,0.019137879482921647,9,11,45.0,55.0,217.5,0.6230473406637338,0.4643344359490234,small,human,0.8271490557087501,False
"NOUN(ADP/case, *)",0.03954798645601777,0.020706929378157914,0.01884105707785986,0.01884105707785986,9,11,45.0,55.0,213.5,0.7070057149209512,0.4249507799360952,small,human,0.8650594931330305,False
