uid,source,group,dataset,sentences,words,rules,unique_rules,rules_per_sentence,unique_rules_per_sentence,rule_diversity,words_per_sentence
fakebr:1006,fakebr,human,fakebr_human,6,222,300,77,50.0,23.0,0.25666666666666665,37.0
fakebr:1006,fakebr,machine,fakebr_machine,15,559,779,155,51.93333333333333,24.933333333333334,0.19897304236200256,37.266666666666666
fakebr:104,fakebr,human,fakebr_human,47,654,900,180,19.148936170212767,13.148936170212766,0.2,13.914893617021276
fakebr:104,fakebr,machine,fakebr_machine,10,413,569,126,56.9,25.4,0.22144112478031636,41.3
fakebr:1129,fakebr,human,fakebr_human,14,309,436,98,31.142857142857142,18.142857142857142,0.22477064220183487,22.071428571428573
fakebr:1129,fakebr,machine,fakebr_machine,13,494,682,139,52.46153846153846,24.307692307692307,0.20381231671554254,38.0
fakebr:2623,fakebr,human,fakebr_human,11,229,318,82,28.90909090909091,16.545454545454547,0.2578616352201258,20.818181818181817
fakebr:2623,fakebr,machine,fakebr_machine,18,601,838,157,46.55555555555556,22.77777777777778,0.1873508353221957,33.388888888888886
fakebr:3020,fakebr,human,fakebr_human,7,132,182,57,26.0,15.285714285714286,0.3131868131868132,18.857142857142858
fakebr:3020,fakebr,machine,fakebr_machine,13,522,724,148,55.69230769230769,25.53846153846154,0.20441988950276244,40.15384615384615
fakebr:3041,fakebr,human,fakebr_human,9,200,274,69,30.444444444444443,16.0,0.2518248175182482,22.22222222222222
fakebr:3041,fakebr,machine,fakebr_machine,15,451,616,127,41.06666666666667,20.2,0.20616883116883117,30.066666666666666
fakebr:421,fakebr,human,fakebr_human,12,236,325,77,27.083333333333332,16.75,0.23692307692307693,19.666666666666668
fakebr:421,fakebr,machine,fakebr_machine,15,567,792,151,52.8,24.666666666666668,0.19065656565656566,37.8
fakebr:458,fakebr,human,fakebr_human,15,368,507,108,33.8,17.933333333333334,0.21301775147928995,24.533333333333335
fakebr:458,fakebr,machine,fakebr_machine,14,488,683,142,48.785714285714285,22.857142857142858,0.20790629575402636,34.857142857142854
fakebr:573,fakebr,human,fakebr_human,12,275,378,96,31.5,17.0,0.25396825396825395,22.916666666666668
fakebr:573,fakebr,machine,fakebr_machine,12,428,598,124,49.833333333333336,23.916666666666668,0.20735785953177258,35.666666666666664
fakebr:917,fakebr,human,fakebr_human,11,135,185,54,16.818181818181817,11.272727272727273,0.2918918918918919,12.272727272727273
fakebr:917,fakebr,machine,fakebr_machine,24,592,822,155,34.25,18.375,0.18856447688564476,24.666666666666668
faketruebr:1043,faketruebr,human,faketruebr_human,4,155,214,60,53.5,23.0,0.2803738317757009,38.75
faketruebr:1043,faketruebr,machine,faketruebr_machine,10,396,552,126,55.2,26.0,0.22826086956521738,39.6
faketruebr:1429,faketruebr,human,faketruebr_human,16,260,362,89,22.625,13.625,0.24585635359116023,16.25
faketruebr:1429,faketruebr,machine,faketruebr_machine,14,439,615,124,43.92857142857143,21.857142857142858,0.2016260162601626,31.357142857142858
faketruebr:1587,faketruebr,human,faketruebr_human,5,156,215,59,43.0,21.2,0.2744186046511628,31.2
faketruebr:1587,faketruebr,machine,faketruebr_machine,9,299,416,93,46.22222222222222,21.666666666666668,0.22355769230769232,33.22222222222222
faketruebr:1773,faketruebr,human,faketruebr_human,7,86,120,47,17.142857142857142,11.714285714285714,0.39166666666666666,12.285714285714286
faketruebr:1773,faketruebr,machine,faketruebr_machine,12,483,671,121,55.916666666666664,25.75,0.18032786885245902,40.25
faketruebr:215,faketruebr,human,faketruebr_human,6,113,161,51,26.833333333333332,15.166666666666666,0.3167701863354037,18.833333333333332
faketruebr:215,faketruebr,machine,faketruebr_machine,12,330,463,112,38.583333333333336,20.333333333333332,0.24190064794816415,27.5
faketruebr:230,faketruebr,human,faketruebr_human,4,99,136,41,34.0,18.0,0.3014705882352941,24.75
faketruebr:230,faketruebr,machine,faketruebr_machine,9,344,470,91,52.22222222222222,23.77777777777778,0.19361702127659575,38.22222222222222
faketruebr:509,faketruebr,human,faketruebr_human,10,213,300,88,30.0,16.2,0.29333333333333333,21.3
faketruebr:509,faketruebr,machine,faketruebr_machine,12,373,526,112,43.833333333333336,22.75,0.21292775665399238,31.083333333333332
faketruebr:542,faketruebr,human,faketruebr_human,14,253,352,89,25.142857142857142,13.285714285714286,0.2528409090909091,18.071428571428573
faketruebr:542,faketruebr,machine,faketruebr_machine,11,351,488,115,44.36363636363637,22.272727272727273,0.23565573770491804,31.90909090909091
faketruebr:70,faketruebr,human,faketruebr_human,7,89,125,40,17.857142857142858,12.714285714285714,0.32,12.714285714285714
faketruebr:70,faketruebr,machine,faketruebr_machine,12,449,617,129,51.416666666666664,23.75,0.20907617504051865,37.416666666666664
faketruebr:74,faketruebr,human,faketruebr_human,7,165,233,49,33.285714285714285,17.428571428571427,0.21030042918454936,23.571428571428573
faketruebr:74,faketruebr,machine,faketruebr_machine,11,435,608,124,55.27272727272727,25.90909090909091,0.20394736842105263,39.54545454545455
