term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
alem,machine,-4.221028796907338,-3.968863748097099,0.2521650488102386,4.221028796907338
tribunal,machine,-3.8141222088708373,-3.5644673106779132,0.24965489819292425,3.8141222088708373
especialistas,machine,-3.813566811596865,-3.563913037187466,0.24965377440939907,3.813566811596865
internas,machine,-3.621672865575844,-3.3735015865145273,0.24817127906131692,3.621672865575844
politico,machine,-3.6203059519025524,-3.3721329533083892,0.24817299859416297,3.6203059519025524
disso,machine,-3.5465912714498895,-3.2991275611565425,0.2474637102933469,3.5465912714498895
garantir,machine,-3.546222835870031,-3.298758882806654,0.24746395306337746,3.546222835870031
investigacao,machine,-3.545938461573297,-3.2984750062247863,0.24746345534851066,3.545938461573297
alem disso,machine,-3.545765330930218,-3.2983023412793395,0.24746298965087857,3.545765330930218
sistema,machine,-3.464563332944673,-3.217925243250017,0.24663808969465584,3.464563332944673
fontes internas,machine,-3.464185154075839,-3.2175473487365536,0.24663780533928514,3.464185154075839
empresas,machine,-3.464105384116247,-3.21746546845623,0.24663991566001656,3.464105384116247
denuncias,machine,-3.4640046604644814,-3.2173770810573417,0.24662757940713984,3.4640046604644814
meio,machine,-3.463888253098676,-3.217249374705623,0.24663887839305265,3.463888253098676
vai,human,3.421031265951026,1.375268001984004,-2.0457632639670216,3.421031265951026
voce,human,3.421028653374666,1.3752519619252674,-2.0457766914493987,3.421028653374666
afirmam,machine,-3.3753087143830753,-3.1290452812797245,0.24626343310335105,3.3753087143830753
afirmam que,machine,-3.3749330701601745,-3.1286590101263707,0.24627406003380378,3.3749330701601745
documentos,machine,-3.3744017868252443,-3.128134119698282,0.246267667126962,3.3744017868252443
indicam,machine,-3.3739112121598405,-3.1276533415398537,0.2462578706199867,3.3739112121598405
de corrupcao,machine,-3.274147901542161,-3.0293236556167904,0.24482424592537066,3.274147901542161
para garantir,machine,-3.2740949846665854,-3.0292765938692097,0.24481839079737586,3.2740949846665854
indicam que,machine,-3.2740077657280526,-3.0291815644498303,0.2448262012782221,3.2740077657280526
contas,machine,-3.2739585691537174,-3.029134830534443,0.24482373861927426,3.2739585691537174
alem de,machine,-3.273830116030979,-3.029003139946616,0.24482697608436277,3.273830116030979
supremo tribunal,machine,-3.273787760715948,-3.0289635145091633,0.24482424620678456,3.273787760715948
em uma,machine,-3.2737615660340715,-3.0289353315959398,0.24482623443813192,3.2737615660340715
tribunal federal,machine,-3.273757184326274,-3.0289330508424075,0.24482413348386678,3.273757184326274
