rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"PROPN(*, PUNCT/punct)",0.0,0.044081038424769396,-0.044081038424769396,0.044081038424769396,0,14,0.0,70.0,60.0,9.42882670285241e-06,-2.0990404243022462,large,machine,0.00012178901157851028,True
"VERB(PRON/nsubj, *, VERB/xcomp)",0.0,0.03896897754893723,-0.03896897754893723,0.03896897754893723,0,13,0.0,65.0,70.0,2.5658810724658614e-05,-1.8704075431376324,large,machine,0.0003059319740247758,True
*(PROPN),0.005183479953437546,0.04159574683458911,-0.03641226688115156,0.03641226688115156,2,15,10.0,75.0,70.0,9.946562216246509e-05,-1.7219417778117572,large,machine,0.0009635732146988805,True
"NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",0.004651927272879087,0.037284956338159966,-0.03263302906528088,0.03263302906528088,1,13,5.0,65.0,86.5,0.00033276904080425013,-1.3205253012830782,large,machine,0.003034070666156398,True
"VERB(*, NOUN/obl:agent)",0.005991361818602065,0.03817119236050241,-0.03217983054190035,0.03217983054190035,2,13,10.0,65.0,90.0,0.0006582895924452533,-1.3290619759614022,large,machine,0.005370257201527066,True
"ADV(*, SCONJ/fixed)",0.0,0.032133447391635594,-0.032133447391635594,0.032133447391635594,0,9,0.0,45.0,110.0,0.0009302976856460412,-1.274747689562597,large,machine,0.006866482917863638,True
"NOUN(ADP/case, *, ADJ/amod, PROPN/nmod)",0.0,0.03147589280201936,-0.03147589280201936,0.03147589280201936,0,9,0.0,45.0,110.0,0.0009302976856460412,-1.2340046470387134,large,machine,0.006866482917863638,True
"ADV(*, NOUN/obl)",0.0,0.028835379525764416,-0.028835379525764416,0.028835379525764416,0,8,0.0,40.0,120.0,0.0020850808867877617,-1.1194409890878307,large,machine,0.014051632063134915,True
"NOUN(ADP/case, *, VERB/acl)",0.00266594666383966,0.030291415723045723,-0.027625469059206063,0.027625469059206063,1,9,5.0,45.0,116.5,0.0031542766646059446,-1.0900183313724736,large,machine,0.018107884556071163,True
"NOUN(ADP/case, DET/det, *, VERB/acl)",0.004196894452241735,0.03145909107875012,-0.027262196626508382,0.027262196626508382,1,9,5.0,45.0,123.5,0.006865461075844546,-0.9682221934407244,large,machine,0.03800523095556802,True
"VERB(*, NOUN/obl)",0.010919136300657602,0.03672616278982526,-0.025807026489167658,0.025807026489167658,3,14,15.0,70.0,98.0,0.0022853551763222773,-0.9649983141011961,large,machine,0.01475958551374804,True
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0.02981786388743034,0.004014399705702081,0.02580346418172826,0.02580346418172826,5,1,25.0,5.0,242.5,0.06746399878132199,0.6567709868522679,medium,human,0.1806823449822052,False
"NOUN(ADP/case, *, ADJ/amod, PUNCT/punct)",0.0,0.025155833335424583,-0.025155833335424583,0.025155833335424583,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9124359673062048,large,machine,0.045017485717533626,True
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0.0,0.024903896802092033,-0.024903896802092033,0.024903896802092033,0,6,0.0,30.0,140.0,0.009584367926958772,-0.8979833072938691,large,machine,0.045017485717533626,True
"NOUN(*, ADJ/amod, VERB/acl)",0.0,0.024468931366764084,-0.024468931366764084,0.024468931366764084,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9248014200500032,large,machine,0.045017485717533626,True
*(NOUN),0.04442692851131633,0.021623545662323322,0.022803382848993005,0.022803382848993005,14,10,70.0,50.0,295.0,0.00824461478528814,0.8321999786610896,large,human,0.0440660445420573,True
"ADP(*, DET/fixed, NOUN/fixed)",0.0,0.022166393992597663,-0.022166393992597663,0.022166393992597663,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8148940994258285,large,machine,0.07672109756538628,False
"VERB(NOUN/nsubj, *, PUNCT/punct)",0.0,0.021873287648315407,-0.021873287648315407,0.021873287648315407,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9061016383947835,large,machine,0.045017485717533626,True
"NOUN(DET/det, *, VERB/acl:relcl)",0.009228654852011454,0.030951631536613712,-0.02172297668460226,0.02172297668460226,3,11,15.0,55.0,125.5,0.018778597032656462,-0.839000534552515,large,machine,0.07672109756538628,False
"NOUN(ADP/case, *, PROPN/nmod)",0.010272219033674984,0.03167720322341351,-0.021404984189738525,0.021404984189738525,3,11,15.0,55.0,133.5,0.03609512208535764,-0.7862594353600956,medium,machine,0.12380169011039824,False
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.013348693740882534,0.03467516346597367,-0.021326469725091137,0.021326469725091137,4,14,20.0,70.0,116.0,0.013380659525536283,-0.8281138369639836,large,machine,0.06100006548406246,False
"VERB(ADP/mark, *, NOUN/obj)",0.01781258735456922,0.03899626591891321,-0.021183678564343993,0.021183678564343993,6,18,30.0,90.0,116.0,0.019576690073792088,-0.9392509346526754,large,machine,0.07672109756538628,False
"PRON(*, PRON/fixed)",0.033306435112332736,0.012928694110004732,0.020377741002328004,0.020377741002328004,8,4,40.0,20.0,256.0,0.06404772555311068,0.5879802569466863,medium,human,0.1806823449822052,False
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod)",0.0042571727099897354,0.024402234220206757,-0.02014506151021702,0.02014506151021702,1,7,5.0,35.0,143.5,0.03015587349716632,-0.7388250433703892,medium,machine,0.10623091800138136,False
"NOUN(*, ADJ/amod, NOUN/nmod)",0.01119189452376886,0.03133278003283671,-0.020140885509067848,0.020140885509067848,3,11,15.0,55.0,127.5,0.022231659994240406,-0.7018773154513556,medium,machine,0.08404651949042104,False
"NOUN(*, VERB/acl:relcl)",0.006141703348572138,0.025712444914115794,-0.019570741565543656,0.019570741565543656,1,8,5.0,40.0,134.0,0.015393456380801512,-0.6630128455772852,medium,machine,0.06817102111497812,False
"NOUN(DET/det, *, ADJ/amod)",0.0190129425849912,0.03833688296021396,-0.01932394037522276,0.01932394037522276,6,17,30.0,85.0,134.0,0.06521910871152661,-0.7811027848208953,medium,machine,0.1806823449822052,False
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0.0,0.019309606711425027,-0.019309606711425027,0.019309606711425027,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8090987240965711,large,machine,0.07672109756538628,False
"VERB(PRON/nsubj, *, NOUN/obj)",0.008028026441197442,0.027281208801916368,-0.019253182360718928,0.019253182360718928,2,9,10.0,45.0,139.0,0.03753986732379817,-0.6965724522797632,medium,machine,0.12380169011039824,False
"NOUN(*, PROPN/nmod)",0.007548812657034309,0.026703532193868135,-0.019154719536833828,0.019154719536833828,2,8,10.0,40.0,141.0,0.03744945760278196,-0.6607311474168363,medium,machine,0.12380169011039824,False
"VERB(PUNCT/punct, *, NOUN/obj)",0.004985109198451946,0.023958971306777217,-0.018973862108325273,0.018973862108325273,1,7,5.0,35.0,143.5,0.03015587349716632,-0.6743490979684278,medium,machine,0.10623091800138136,False
"VERB(PRON/nsubj, *, NOUN/obj, NOUN/obl)",0.0,0.018863261185096063,-0.018863261185096063,0.018863261185096063,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8029885905453317,large,machine,0.07672109756538628,False
"NOUN(ADP/case, DET/det, *, VERB/acl:relcl)",0.006854596604580381,0.02555440096484999,-0.01869980436026961,0.01869980436026961,2,7,10.0,35.0,150.0,0.0670837247805681,-0.6394060379492831,medium,machine,0.1806823449822052,False
"NOUN(ADP/case, DET/det, ADJ/amod, *, NOUN/nmod)",0.003186299174137738,0.02147687698512103,-0.01829057781098329,0.01829057781098329,1,5,5.0,25.0,157.5,0.06746399878132199,-0.6427334057492567,medium,machine,0.1806823449822052,False
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod)",0.004390204400533737,0.022439664131678062,-0.018049459731144326,0.018049459731144326,1,6,5.0,30.0,152.0,0.0523786422443844,-0.6381425699534277,medium,machine,0.16568754179346085,False
"VERB(NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",0.012585255247246473,0.030308143007577216,-0.017722887760330742,0.017722887760330742,3,11,15.0,55.0,136.5,0.045436791792498404,-0.6056291178326805,medium,machine,0.14672297349660943,False
"NOUN(ADP/case, *, ADJ/amod)",0.022689572950567262,0.03892570842279151,-0.01623613547222425,0.01623613547222425,9,20,45.0,100.0,153.0,0.20372401100307302,-0.8523460466055977,large,machine,0.362956571327314,False
CCONJ(*),0.04430512043074927,0.02835527177115548,0.015949848659593792,0.015949848659593792,20,19,100.0,95.0,377.0,1.8029691721083094e-06,1.7710452710560702,large,human,8.276399862138275e-05,True
"VERB(NOUN/nsubj, ADV/advmod, *, NOUN/obj, PUNCT/punct)",0.0060934203176237645,0.021717739111075173,-0.015624318793451409,0.015624318793451409,1,6,5.0,30.0,153.0,0.0575426096982425,-0.5123847642136033,medium,machine,0.17152124044668438,False
"VERB(CCONJ/cc, *, NOUN/obj, NOUN/obl)",0.00611002245343549,0.021689547641935387,-0.015579525188499897,0.015579525188499897,1,6,5.0,30.0,153.0,0.0575426096982425,-0.5108197158204125,medium,machine,0.17152124044668438,False
"VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl, PUNCT/punct)",0.004936680552303998,0.02045060180347375,-0.015513921251169753,0.015513921251169753,1,5,5.0,25.0,162.5,0.10720513919522957,-0.5273234165488278,medium,machine,0.24522239937757287,False
"NOUN(DET/det, *, NOUN/nmod)",0.0416729553674875,0.026668507646518458,0.015004447720969045,0.015004447720969045,16,15,80.0,75.0,317.0,0.001528466048123442,0.7490365134651853,medium,human,0.010768738066324252,True
"NOUN(*, ADJ/amod, VERB/acl:relcl)",0.00535682613782921,0.02024731375476849,-0.01489048761693928,0.01489048761693928,1,5,5.0,25.0,162.5,0.10720513919522957,-0.4910728806347814,small,machine,0.24522239937757287,False
"NOUN(*, ADJ/amod)",0.02015470188791036,0.03481955031672375,-0.014664848428813389,0.014664848428813389,6,15,30.0,75.0,152.0,0.17394535652492127,-0.5457488232503976,medium,machine,0.3523293638111607,False
"NOUN(ADP/case, NUM/nummod, *)",0.03439980236723096,0.01977581647930763,0.014623985887923331,0.014623985887923331,9,8,45.0,40.0,240.0,0.23518734270644326,0.4366955183102427,small,human,0.40059382548899675,False
"VERB(*, NOUN/obl, NOUN/obl)",0.006402312718030273,0.020814022626773173,-0.0144117099087429,0.0144117099087429,1,5,5.0,25.0,162.5,0.10720513919522957,-0.4393934790936049,small,machine,0.24522239937757287,False
"PROPN(ADP/case, *)",0.021649809151088228,0.03586188906312475,-0.014212079912036522,0.014212079912036522,8,17,40.0,85.0,158.0,0.248795530336261,-0.6304689819979903,medium,machine,0.41916638263174405,False
"ADJ(*, NOUN/obl)",0.009253307552199896,0.02341317044267976,-0.014159862890479866,0.014159862890479866,2,7,10.0,35.0,156.0,0.1075814397269352,-0.46375686496662977,small,machine,0.24522239937757287,False
"NOUN(DET/det, ADJ/amod, *)",0.005482985534458881,0.01944791670530608,-0.013964931170847199,0.013964931170847199,1,5,5.0,25.0,162.5,0.10720513919522957,-0.46767919348676024,small,machine,0.24522239937757287,False
"PROPN(DET/det, *)",0.01543536519124441,0.02928031600081807,-0.013844950809573658,0.013844950809573658,5,11,25.0,55.0,155.5,0.17895081827231096,-0.506681748947627,medium,machine,0.3523293638111607,False
"VERB(CCONJ/cc, *, VERB/xcomp)",0.004880771957516242,0.018711137684537454,-0.013830365727021211,0.013830365727021211,1,5,5.0,25.0,162.5,0.10720513919522957,-0.4999145278050427,small,machine,0.24522239937757287,False
ADP(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
PUNCT(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
VERB(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
