uid,source,group,dataset,sentences,words,rules,unique_rules,rules_per_sentence,unique_rules_per_sentence,rule_diversity,words_per_sentence
fakebr:1006,fakebr,human,fakebr_human,6,222,100,37,16.666666666666668,9.333333333333334,0.37,37.0
fakebr:1006,fakebr,machine,fakebr_machine,15,559,251,68,16.733333333333334,10.466666666666667,0.27091633466135456,37.266666666666666
fakebr:104,fakebr,human,fakebr_human,47,654,258,84,5.48936170212766,3.9574468085106385,0.32558139534883723,13.914893617021276
fakebr:104,fakebr,machine,fakebr_machine,10,413,184,51,18.4,10.0,0.27717391304347827,41.3
fakebr:1129,fakebr,human,fakebr_human,14,309,137,46,9.785714285714286,5.928571428571429,0.3357664233576642,22.071428571428573
fakebr:1129,fakebr,machine,fakebr_machine,13,494,239,69,18.384615384615383,9.615384615384615,0.28870292887029286,38.0
fakebr:2623,fakebr,human,fakebr_human,11,229,79,31,7.181818181818182,5.0,0.3924050632911392,20.818181818181817
fakebr:2623,fakebr,machine,fakebr_machine,18,601,256,65,14.222222222222221,8.222222222222221,0.25390625,33.388888888888886
fakebr:3020,fakebr,human,fakebr_human,7,132,37,14,5.285714285714286,4.142857142857143,0.3783783783783784,18.857142857142858
fakebr:3020,fakebr,machine,fakebr_machine,13,522,233,68,17.923076923076923,10.23076923076923,0.2918454935622318,40.15384615384615
fakebr:3041,fakebr,human,fakebr_human,9,200,75,26,8.333333333333334,5.222222222222222,0.3466666666666667,22.22222222222222
fakebr:3041,fakebr,machine,fakebr_machine,15,451,180,58,12.0,7.666666666666667,0.32222222222222224,30.066666666666666
fakebr:421,fakebr,human,fakebr_human,12,236,78,27,6.5,4.0,0.34615384615384615,19.666666666666668
fakebr:421,fakebr,machine,fakebr_machine,15,567,289,75,19.266666666666666,10.4,0.25951557093425603,37.8
fakebr:458,fakebr,human,fakebr_human,15,368,122,37,8.133333333333333,5.2,0.30327868852459017,24.533333333333335
fakebr:458,fakebr,machine,fakebr_machine,14,488,183,61,13.071428571428571,7.785714285714286,0.3333333333333333,34.857142857142854
fakebr:573,fakebr,human,fakebr_human,12,275,113,45,9.416666666666666,6.0,0.39823008849557523,22.916666666666668
fakebr:573,fakebr,machine,fakebr_machine,12,428,171,51,14.25,8.916666666666666,0.2982456140350877,35.666666666666664
fakebr:917,fakebr,human,fakebr_human,11,135,36,22,3.272727272727273,2.8181818181818183,0.6111111111111112,12.272727272727273
fakebr:917,fakebr,machine,fakebr_machine,24,592,215,72,8.958333333333334,5.791666666666667,0.33488372093023255,24.666666666666668
faketruebr:1043,faketruebr,human,faketruebr_human,4,155,74,32,18.5,10.25,0.43243243243243246,38.75
faketruebr:1043,faketruebr,machine,faketruebr_machine,10,396,160,53,16.0,9.6,0.33125,39.6
faketruebr:1429,faketruebr,human,faketruebr_human,16,260,160,50,10.0,5.5625,0.3125,16.25
faketruebr:1429,faketruebr,machine,faketruebr_machine,14,439,229,67,16.357142857142858,8.785714285714286,0.2925764192139738,31.357142857142858
faketruebr:1587,faketruebr,human,faketruebr_human,5,156,72,29,14.4,7.8,0.4027777777777778,31.2
faketruebr:1587,faketruebr,machine,faketruebr_machine,9,299,126,41,14.0,8.0,0.3253968253968254,33.22222222222222
faketruebr:1773,faketruebr,human,faketruebr_human,7,86,42,16,6.0,4.0,0.38095238095238093,12.285714285714286
faketruebr:1773,faketruebr,machine,faketruebr_machine,12,483,210,49,17.5,9.666666666666666,0.23333333333333334,40.25
faketruebr:215,faketruebr,human,faketruebr_human,6,113,57,26,9.5,6.166666666666667,0.45614035087719296,18.833333333333332
faketruebr:215,faketruebr,machine,faketruebr_machine,12,330,136,51,11.333333333333334,7.083333333333333,0.375,27.5
faketruebr:230,faketruebr,human,faketruebr_human,4,99,35,13,8.75,4.75,0.37142857142857144,24.75
faketruebr:230,faketruebr,machine,faketruebr_machine,9,344,157,43,17.444444444444443,9.0,0.27388535031847133,38.22222222222222
faketruebr:509,faketruebr,human,faketruebr_human,10,213,77,34,7.7,5.0,0.44155844155844154,21.3
faketruebr:509,faketruebr,machine,faketruebr_machine,12,373,165,50,13.75,8.583333333333334,0.30303030303030304,31.083333333333332
faketruebr:542,faketruebr,human,faketruebr_human,14,253,112,43,8.0,4.5,0.38392857142857145,18.071428571428573
faketruebr:542,faketruebr,machine,faketruebr_machine,11,351,163,53,14.818181818181818,8.636363636363637,0.32515337423312884,31.90909090909091
faketruebr:70,faketruebr,human,faketruebr_human,7,89,50,22,7.142857142857143,4.428571428571429,0.44,12.714285714285714
faketruebr:70,faketruebr,machine,faketruebr_machine,12,449,198,58,16.5,9.75,0.29292929292929293,37.416666666666664
faketruebr:74,faketruebr,human,faketruebr_human,7,165,72,16,10.285714285714286,5.428571428571429,0.2222222222222222,23.571428571428573
faketruebr:74,faketruebr,machine,faketruebr_machine,11,435,176,57,16.0,9.454545454545455,0.32386363636363635,39.54545454545455
