rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
PRON(*),0.0909919212031017,0.05339980690775128,0.03759211429535043,0.03759211429535043,20,20,100.0,100.0,291.0,0.01436384760113641,0.8882856520587001,large,human,0.062225406320313294,False
PUNCT(*),0.29284673560367663,0.25787073000595806,0.034976005597718574,0.034976005597718574,20,20,100.0,100.0,240.0,0.285304715907688,0.47848759615184044,small,human,0.4184469166646091,False
NUM(*),0.06828821752804946,0.03426173027751436,0.0340264872505351,0.0340264872505351,17,16,85.0,80.0,241.0,0.27202220041750413,0.5977874178510592,medium,human,0.4046388801914707,False
*(VERB),0.09918178961905963,0.0709236966904774,0.028258092928582224,0.028258092928582224,20,20,100.0,100.0,322.0,0.0010140986852160438,1.200735321706014,large,human,0.012078474383048194,True
*(NOUN),0.03318944767705541,0.006061600254367061,0.027127847422688346,0.027127847422688346,14,9,70.0,45.0,309.0,0.002256945761449139,1.1695087355272926,large,human,0.021723102953947963,True
X(*),0.023145387088345355,0.004065860336508775,0.01907952675183658,0.01907952675183658,6,3,30.0,15.0,235.0,0.2018742065648934,0.5472259356237704,medium,human,0.3454291978999287,False
"NOUN(ADP/case, DET/det, *)",0.06460437382982445,0.046185666525955446,0.018418707303869006,0.018418707303869006,20,20,100.0,100.0,288.0,0.017938612870324673,0.768846074614752,medium,human,0.062225406320313294,False
"NOUN(DET/det, *)",0.05553290822816709,0.038483589277819155,0.017049318950347933,0.017049318950347933,20,20,100.0,100.0,273.0,0.04986369021054049,0.7242468835693868,medium,human,0.13961833258951337,False
"SYM(NUM/nummod, *, NOUN/nmod)",0.014479631240723276,0.0008205215532311654,0.013659109687492111,0.013659109687492111,4,1,20.0,5.0,232.0,0.13812397547208768,0.4444106085103554,small,human,0.287447192198669,False
AUX(*),0.07128770856661742,0.0589652014176492,0.012322507148968223,0.012322507148968223,19,20,95.0,100.0,245.0,0.22869435423745565,0.3906906671327423,small,human,0.36308175827389866,False
"NOUN(PUNCT/punct, *)",0.01421167920490562,0.002320232078367622,0.011891447126537998,0.011891447126537998,6,3,30.0,15.0,239.0,0.15438894403469147,0.7213365013910746,medium,human,0.3128407550176643,False
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0.011797729740546903,0.0,0.011797729740546903,0.011797729740546903,5,0,25.0,0.0,250.0,0.019798992920099685,0.7473744548828962,medium,human,0.062225406320313294,False
"PRON(*, VERB/acl:relcl)",0.012014483069268295,0.0008165721052796048,0.011197910963988691,0.011197910963988691,6,1,30.0,5.0,253.0,0.03201525896175661,0.7777756131934951,medium,human,0.0930254694360475,False
"NOUN(CCONJ/cc, *)",0.02313485614040026,0.01206087237162593,0.01107398376877433,0.01107398376877433,10,13,50.0,65.0,205.0,0.899201535183485,0.4681893705384506,small,human,0.9420206559065082,False
SYM(*),0.022578945374453308,0.011664543373444029,0.01091440200100928,0.01091440200100928,8,8,40.0,40.0,215.0,0.6578332838728576,0.3496453269777046,small,human,0.7853203543908531,False
