metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of,q_value,significant_fdr_005
adj (Adjectives),20,2.8535368808229427,1.5770249431911916,20,4.490172515284883,0.9301437122556071,-1.63663563446194,1.63663563446194,76.0,0.0008357168217272526,-1.2641647009750825,large,True,True,machine,0.06184304480781669,False
cause (Causal),20,2.3221387457280263,1.5301943722592783,20,3.4857574230756,0.8661562313285126,-1.1636186773475736,1.1636186773475736,104.0,0.009772742038963398,-0.9358915000798692,large,True,True,machine,0.13163290660504595,False
work (Work),20,3.1812452530124653,2.282511594743199,20,4.920012309546481,1.6558352356010864,-1.7387670565340154,1.7387670565340154,110.5,0.016009407560073158,-0.8720226923733401,large,True,False,machine,0.13163290660504595,False
compare (Comparisons),20,1.439230365841115,1.2917375160462872,20,2.3440487547762077,0.7442083880949661,-0.9048183889350927,0.9048183889350927,102.0,0.008245496332167274,-0.8583455928959127,large,True,True,machine,0.13163290660504595,False
ppron (Personal Pronouns),20,10.335463123200393,2.453133087212515,20,8.583503242807362,1.5976907752226561,1.7519598803930307,1.7519598803930307,280.0,0.03150913206512166,0.8463239643379067,large,True,False,human,0.18822129126868328,False
tentat (Tentative),20,1.7956182157777765,0.9526816272283702,20,1.0923801919382559,0.7663145776198602,0.7032380238395206,0.7032380238395206,293.0,0.012344745758617116,0.8134295433654577,large,True,False,human,0.13163290660504595,False
space (Space),20,5.258282857904765,2.5374585334203474,20,6.871446935123126,1.3085829412584402,-1.6131640772183609,1.6131640772183609,112.5,0.018599201820036344,-0.7990718397859509,medium,True,False,machine,0.13763409346826894,False
informal (Informal Language),20,1.041209708946775,1.390013286570624,20,0.22103758151361194,0.42805854729164416,0.8201721274331629,0.8201721274331629,308.5,0.0021840921590505482,0.7974927160887106,medium,True,True,human,0.08081140988487029,False
adverb (Adverbs),20,7.257033015966334,3.161545441672411,20,9.124242265401005,1.5056741614824225,-1.867209249434671,1.867209249434671,122.0,0.03604832666418314,-0.754084161094101,medium,True,False,machine,0.18822129126868328,False
article (Articles),20,15.315266418606296,3.5088829343509444,20,13.246043612143172,1.8100954677229724,2.0692228064631237,2.0692228064631237,298.0,0.008354827335644516,0.7411689795440087,medium,True,True,human,0.13163290660504595,False
pronoun (Pronouns),20,17.223922096124536,3.6471381328101904,20,15.129394749600948,1.8917624256082628,2.094527346523588,2.094527346523588,267.0,0.0720454304673439,0.72095789543757,medium,False,False,human,0.24861238482166803,False
function (Function Words),20,45.70112083368713,4.972396625109128,20,42.984968100453045,1.9380817988860721,2.7161527332340825,2.7161527332340825,264.0,0.08585487995041037,0.7197677978605317,medium,False,False,human,0.2541304446532147,False
interrog (Interrogatives),20,3.3192217955365857,1.4263103285854952,20,4.17590834342091,1.055709721426325,-0.8566865478843244,0.8566865478843244,134.0,0.07643094557954021,-0.6827451166214548,medium,False,False,machine,0.24861238482166803,False
filler (Filler Words),20,0.07890301400378699,0.16891458359644043,20,0.0,0.0,0.07890301400378699,0.07890301400378699,240.0,0.04016134287788318,0.6606043725795934,medium,True,False,human,0.18822129126868328,False
