term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
disse,human,6.229992147141366,1.5096158811945886,-4.720376265946777,6.229992147141366
nada,human,6.066149435903174,1.5072833465271671,-4.558866089376007,6.066149435903174
voce,human,5.872555210203441,1.5060203264521705,-4.36653488375127,5.872555210203441
porque,human,5.756208481039337,1.5048932990776136,-4.251315181961724,5.756208481039337
ontem,human,5.626483983453067,1.5030143448765032,-4.123469638576563,5.626483983453067
fez,human,5.474692737640519,1.4982687749904715,-3.9764239626500473,5.474692737640519
estar,human,5.29631735765098,1.496956066566289,-3.799361291084691,5.29631735765098
fontes,machine,-3.852357709697815,-3.612336924059939,0.24002078563787627,3.852357709697815
ele,human,3.779516466564847,1.4389857906046841,-2.3405306759601627,3.779516466564847
afirmam,machine,-3.7367394040981377,-3.4972938095983865,0.23944559449975092,3.7367394040981377
afirmam que,machine,-3.736639011535218,-3.4972062767950565,0.23943273474016138,3.736639011535218
especialistas em,machine,-3.6727169209762573,-3.4335352230570595,0.23918169791919777,3.6727169209762573
do brasil,human,3.5596463903077122,1.420282547508515,-2.1393638427991974,3.5596463903077122
politica,machine,-3.530374718597077,-3.2922457286559625,0.2381289899411145,3.530374718597077
direitos,machine,-3.5293671244078055,-3.2912343333441996,0.23813279106360616,3.5293671244078055
documentos,machine,-3.450717063334884,-3.2132280923050307,0.23748897102985353,3.450717063334884
surpreendente,machine,-3.45067396726601,-3.2131875077344327,0.23748645953157732,3.45067396726601
enquanto,machine,-3.362612547461556,-3.126275558974141,0.23633698848741527,3.362612547461556
proximas,machine,-3.2687580881150513,-3.033182173984256,0.23557591413079518,3.2687580881150513
alem,machine,-3.2675553753814275,-3.0319785174378686,0.2355768579435588,3.2675553753814275
vai,human,3.2433601976039705,1.387063829842251,-1.8562963677617195,3.2433601976039705
internas,machine,-3.1635331283471375,-2.9289605193164623,0.23457260903067528,3.1635331283471375
reviravolta,machine,-3.162335611482195,-2.9277732838881274,0.23456232759406764,3.162335611482195
crise,machine,-3.1621374582838015,-2.927583403893733,0.2345540543900688,3.1621374582838015
fontes internas,machine,-3.0450293150118104,-2.812177992353003,0.23285132265880745,3.0450293150118104
uma reviravolta,machine,-3.0450283736151267,-2.81216756175305,0.23286081186207652,3.0450283736151267
reviravolta surpreendente,machine,-3.0450115022521658,-2.812150865062096,0.23286063719006986,3.0450115022521658
indicam,machine,-2.9108435221514495,-2.679500166432382,0.23134335571906733,2.9108435221514495
desinformacao,machine,-2.9108246831373603,-2.679467773545457,0.23135690959190328,2.9108246831373603
oficialmente,machine,-2.9108218757768243,-2.6794825034484693,0.23133937232835494,2.9108218757768243
entrevista exclusiva,machine,-2.9108184500172154,-2.6794590614605207,0.23135938855669486,2.9108184500172154
exclusiva,machine,-2.9108121547668664,-2.6794676209015624,0.2313445338653038,2.9108121547668664
organizacoes,machine,-2.909811428193393,-2.6784662826935146,0.2313451454998787,2.909811428193393
alertam,machine,-2.909544698180501,-2.6781748089109354,0.23136988926956564,2.909544698180501
reportagem,machine,-2.909530129090251,-2.67816077484613,0.231369354244121,2.909530129090251
enquanto isso,machine,-2.9095283465609123,-2.678155491881845,0.23137285467906735,2.9095283465609123
garantir,machine,-2.909517406001396,-2.6781594731717075,0.23135793282968872,2.909517406001396
alem disso,machine,-2.9095056099821477,-2.678148177347106,0.23135743263504158,2.9095056099821477
eles,human,2.770058749715276,1.3146012798239137,-1.4554574698913625,2.770058749715276
este,machine,-2.7541675106926182,-2.5255943186172667,0.22857319207535143,2.7541675106926182
medo,machine,-2.754159835887119,-2.525592878560377,0.22856695732674207,2.754159835887119
revelam que,machine,-2.75415643426473,-2.5255858667558044,0.2285705675089257,2.75415643426473
sistema,machine,-2.7541539053534083,-2.525594681145118,0.2285592242082903,2.7541539053534083
indicam que,machine,-2.754144719869578,-2.5255853451274253,0.22855937474215254,2.754144719869578
revelam,machine,-2.7541372066456695,-2.5255864668085772,0.22855073983709234,2.7541372066456695
acusacoes,machine,-2.7527626597754558,-2.5242098151816754,0.2285528445937803,2.7527626597754558
estariam,machine,-2.752755534310348,-2.52420647696574,0.22854905734460787,2.752755534310348
internacionais,machine,-2.752753171927819,-2.5242022956028545,0.22855087632496435,2.752753171927819
nao apenas,machine,-2.752749623796371,-2.524199547406991,0.22855007638937982,2.752749623796371
onde,human,2.600347492937291,1.281676749311885,-1.3186707436254061,2.600347492937291
revela,machine,-2.568086023689152,-2.3424267601044035,0.22565926358474858,2.568086023689152
grave,machine,-2.568085675907017,-2.342457688040056,0.22562798786696092,2.568085675907017
vazados,machine,-2.5680630240768876,-2.342424200678109,0.2256388233987783,2.5680630240768876
pela nossa,machine,-2.568061137321918,-2.342412933218587,0.22564820410333117,2.568061137321918
debate,machine,-2.5680332169073448,-2.3423940504834393,0.22563916642390536,2.5680332169073448
protestos,machine,-2.568010519355913,-2.342381425319714,0.22562909403619896,2.568010519355913
serie,machine,-2.5680073058779493,-2.3423578882272653,0.2256494176506842,2.5680073058779493
serie de,machine,-2.5679928452444365,-2.3423447055054423,0.22564813973899409,2.5679928452444365
oficial,machine,-2.5679872701056614,-2.342335225968323,0.22565204413733841,2.5679872701056614
uma serie,machine,-2.5666178353365505,-2.340958825295202,0.2256590100413486,2.5666178353365505
debates,machine,-2.5665845705250656,-2.3409342027941116,0.22565036773095404,2.5665845705250656
mas tambem,machine,-2.566571094770403,-2.340913886983704,0.22565720778669882,2.566571094770403
todos,human,2.542204833601607,1.2683022878168755,-1.2739025457847317,2.542204833601607
que esta,human,2.542200869466094,1.2682879336124102,-1.273912935853684,2.542200869466094
pelo,human,2.3287152216336944,1.2183846518388,-1.1103305697948942,2.3287152216336944
eu,human,2.1529011004174263,1.1707711712302722,-0.9821299291871542,2.1529011004174263
