uid,sent_id,source,group,dataset,words,rules,unique_rules
fakebr:1006,fakebr:1006-1,fakebr,human,fakebr_human,19,25,16
fakebr:1006,fakebr:1006-2,fakebr,human,fakebr_human,19,27,14
fakebr:1006,fakebr:1006-3,fakebr,human,fakebr_human,64,88,37
fakebr:1006,fakebr:1006-4,fakebr,human,fakebr_human,38,52,25
fakebr:1006,fakebr:1006-5,fakebr,human,fakebr_human,46,60,24
fakebr:1006,fakebr:1006-6,fakebr,human,fakebr_human,36,48,22
fakebr:1006,fakebr:1006-1,fakebr,machine,fakebr_machine,68,93,33
fakebr:1006,fakebr:1006-2,fakebr,machine,fakebr_machine,42,56,26
fakebr:1006,fakebr:1006-3,fakebr,machine,fakebr_machine,48,67,28
fakebr:1006,fakebr:1006-4,fakebr,machine,fakebr_machine,34,48,24
fakebr:1006,fakebr:1006-5,fakebr,machine,fakebr_machine,48,67,32
fakebr:1006,fakebr:1006-6,fakebr,machine,fakebr_machine,34,46,24
fakebr:1006,fakebr:1006-7,fakebr,machine,fakebr_machine,54,75,32
fakebr:1006,fakebr:1006-8,fakebr,machine,fakebr_machine,36,51,23
fakebr:1006,fakebr:1006-9,fakebr,machine,fakebr_machine,28,39,21
fakebr:1006,fakebr:1006-10,fakebr,machine,fakebr_machine,24,34,19
fakebr:1006,fakebr:1006-11,fakebr,machine,fakebr_machine,17,24,17
fakebr:1006,fakebr:1006-12,fakebr,machine,fakebr_machine,34,49,26
fakebr:1006,fakebr:1006-13,fakebr,machine,fakebr_machine,28,41,23
fakebr:1006,fakebr:1006-14,fakebr,machine,fakebr_machine,39,54,26
fakebr:1006,fakebr:1006-15,fakebr,machine,fakebr_machine,25,35,20
fakebr:104,fakebr:104-1,fakebr,human,fakebr_human,9,13,12
fakebr:104,fakebr:104-2,fakebr,human,fakebr_human,40,57,24
fakebr:104,fakebr:104-3,fakebr,human,fakebr_human,14,20,13
fakebr:104,fakebr:104-4,fakebr,human,fakebr_human,19,24,15
fakebr:104,fakebr:104-5,fakebr,human,fakebr_human,10,14,12
fakebr:104,fakebr:104-6,fakebr,human,fakebr_human,19,25,14
fakebr:104,fakebr:104-7,fakebr,human,fakebr_human,52,71,30
